Cycle Nr.,Time [s],Temp. [°C],A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
1,0,35.5,0.1511,0.1218,0.2348,0.1318,0.1931,0.1802,0.1773,0.1979,0.1551,0.1181,0.1507,0.1122,0.1653,0.1506,0.1571,0.1277,0.1446,0.133,0.1651,0.1155,0.1386,0.1292,0.1572,0.1285,0.1715,0.1614,0.1787,0.2009,0.1811,0.1335,0.1481,0.1409,0.1882,0.1467,0.1753,0.1729,0.195,0.144,0.1447,0.1512,0.1737,0.1695,0.1653,0.1787,0.1805,0.1318,0.1346,0.1436,0.1501,0.1399,0.1528,0.1387,0.174,0.127,0.1451,0.1436,0.1451,0.1354,0.1479,0.1387,0.1508,0.1243,0.1439,0.1493,0.1436,0.1377,0.1277,0.1385,0.1419,0.1171,0.1482,0.1468,0.1599,0.1283,0.1269,0.1191,0.1618,0.1293,0.1298,0.1385,0.156,0.1278,0.1211,0.1181,0.1587,0.1249,0.1318,0.1229,0.1506,0.1633,0.1207,0.13,0.1614,0.146,0.1238,0.1451
2,899.871,37.3,0.1507,0.1206,0.2315,0.1328,0.197,0.1774,0.1846,0.189,0.1558,0.117,0.1551,0.1111,0.1621,0.1482,0.1555,0.1276,0.1462,0.132,0.1624,0.1165,0.1421,0.1205,0.1562,0.1187,0.1778,0.171,0.1749,0.2022,0.1809,0.1309,0.152,0.1407,0.196,0.1538,0.1711,0.1742,0.1919,0.1407,0.141,0.1532,0.1811,0.1757,0.1599,0.1799,0.1779,0.1306,0.1322,0.1434,0.151,0.1435,0.1461,0.1369,0.1827,0.1265,0.1423,0.1467,0.1471,0.139,0.1455,0.1376,0.1521,0.124,0.1428,0.1464,0.1451,0.141,0.1266,0.1376,0.1451,0.1182,0.1444,0.1435,0.1605,0.129,0.1209,0.1193,0.1588,0.1283,0.1203,0.1372,0.1566,0.1298,0.1193,0.118,0.1543,0.1239,0.1247,0.121,0.151,0.1677,0.1181,0.1315,0.1591,0.1508,0.1126,0.1425
3,1799.845,37.2,0.1503,0.1179,0.2348,0.1308,0.1989,0.1823,0.1771,0.1691,0.1558,0.1151,0.1428,0.1107,0.1646,0.142,0.1578,0.1248,0.1466,0.1299,0.1599,0.1155,0.1435,0.1191,0.1594,0.1168,0.1848,0.1785,0.1685,0.2005,0.1806,0.1313,0.1465,0.1365,0.2036,0.1637,0.1678,0.1735,0.195,0.1408,0.147,0.1494,0.1858,0.1878,0.1604,0.1799,0.1788,0.1316,0.1392,0.1417,0.1519,0.1492,0.1483,0.1344,0.1896,0.1303,0.1444,0.1497,0.1481,0.1429,0.1481,0.135,0.158,0.1281,0.1451,0.1436,0.1457,0.1448,0.1283,0.134,0.1479,0.1214,0.1452,0.1422,0.1617,0.1308,0.1212,0.1185,0.1607,0.13,0.1195,0.1357,0.1575,0.1318,0.1212,0.1168,0.1569,0.125,0.1222,0.1194,0.1515,0.1696,0.1172,0.1273,0.1624,0.144,0.1106,0.1316
4,2699.828,37.1,0.1498,0.1179,0.2228,0.1296,0.2049,0.168,0.1746,0.1643,0.1573,0.1153,0.1375,0.1103,0.1634,0.1384,0.1562,0.1234,0.1458,0.1295,0.1585,0.1153,0.1436,0.1159,0.158,0.1183,0.1952,0.1859,0.1703,0.1992,0.1804,0.1316,0.1475,0.1381,0.2149,0.1719,0.1627,0.173,0.1929,0.1418,0.1455,0.1498,0.196,0.1908,0.1569,0.1791,0.1783,0.1324,0.1372,0.1415,0.1512,0.153,0.1462,0.1321,0.1923,0.1329,0.1441,0.1546,0.1484,0.1484,0.1451,0.1327,0.1616,0.1306,0.1441,0.1421,0.1474,0.1486,0.1251,0.1332,0.1529,0.1245,0.1425,0.1404,0.1628,0.1317,0.1193,0.1181,0.161,0.1293,0.1177,0.1342,0.1579,0.1322,0.1196,0.1171,0.1559,0.1234,0.1214,0.1187,0.1527,0.1751,0.1168,0.1292,0.1608,0.151,0.11,0.134
5,3599.807,37.3,0.1484,0.1177,0.2336,0.1274,0.201,0.1651,0.1778,0.1553,0.158,0.1149,0.1472,0.11,0.1662,0.1373,0.1576,0.1224,0.1465,0.1296,0.1587,0.1143,0.1474,0.1152,0.1555,0.1158,0.215,0.1899,0.1674,0.1989,0.1879,0.1316,0.1473,0.1361,0.2439,0.1773,0.1613,0.1725,0.197,0.1413,0.1426,0.1497,0.2193,0.2025,0.1546,0.1764,0.1835,0.1319,0.1384,0.1398,0.1538,0.1599,0.1428,0.1301,0.1969,0.1386,0.1423,0.1561,0.1508,0.1521,0.1442,0.1302,0.1732,0.1351,0.1438,0.1411,0.15,0.1526,0.1234,0.1328,0.1624,0.1298,0.141,0.1391,0.1659,0.1347,0.1197,0.1182,0.1654,0.1297,0.123,0.1328,0.1621,0.1351,0.1184,0.1165,0.1596,0.1244,0.1188,0.1184,0.1566,0.1767,0.1175,0.1286,0.1639,0.1464,0.1086,0.1236
6,4499.772,37.3,0.1481,0.1185,0.2364,0.1293,0.2023,0.171,0.1821,0.1554,0.1585,0.1155,0.1439,0.1109,0.1641,0.1395,0.1548,0.1238,0.1457,0.1307,0.155,0.1161,0.1421,0.1178,0.1549,0.1167,0.2243,0.205,0.1663,0.1996,0.1896,0.1361,0.1493,0.137,0.2533,0.1957,0.1585,0.1729,0.2033,0.1463,0.1421,0.1481,0.2327,0.216,0.1543,0.1785,0.1843,0.1367,0.1373,0.1403,0.1561,0.1693,0.1441,0.1303,0.2061,0.1461,0.1415,0.1584,0.153,0.1605,0.1447,0.1307,0.1827,0.1446,0.1423,0.1398,0.1529,0.1603,0.1239,0.1308,0.174,0.1372,0.1402,0.1379,0.1695,0.1398,0.1188,0.1188,0.1681,0.1328,0.1202,0.1314,0.166,0.1404,0.1178,0.1176,0.1615,0.1276,0.119,0.1171,0.16,0.1837,0.1172,0.1288,0.162,0.1538,0.1076,0.1322
7,5399.75,37,0.1475,0.1177,0.2162,0.1278,0.2037,0.168,0.1785,0.1604,0.1598,0.1155,0.1273,0.1104,0.1647,0.1389,0.1574,0.1237,0.1497,0.1302,0.1349,0.1155,0.1466,0.1164,0.1584,0.1154,0.2472,0.2209,0.1633,0.199,0.202,0.1393,0.1463,0.1372,0.2733,0.2067,0.1521,0.1708,0.2153,0.149,0.1411,0.1472,0.2654,0.2329,0.1517,0.1776,0.1976,0.1418,0.137,0.1403,0.162,0.1774,0.1442,0.1291,0.2168,0.1543,0.1407,0.1609,0.1611,0.1722,0.1474,0.1295,0.201,0.1549,0.1421,0.1414,0.1584,0.1738,0.1286,0.1292,0.1903,0.146,0.1411,0.1382,0.1785,0.1466,0.1204,0.1185,0.1736,0.1348,0.1194,0.1341,0.1732,0.1467,0.1184,0.116,0.1677,0.1295,0.1204,0.1195,0.1674,0.1887,0.1183,0.1274,0.1679,0.1536,0.1069,0.1195
8,6299.722,36.9,0.1478,0.1169,0.2219,0.1267,0.2003,0.164,0.1808,0.1456,0.1609,0.1144,0.1455,0.1108,0.1642,0.1364,0.153,0.122,0.1459,0.1292,0.1465,0.1149,0.1443,0.1149,0.158,0.1162,0.2715,0.242,0.1692,0.1961,0.2152,0.1433,0.1448,0.135,0.2964,0.2318,0.157,0.1701,0.2265,0.1546,0.1425,0.1447,0.2821,0.2655,0.154,0.1752,0.2071,0.1433,0.138,0.1381,0.1786,0.1934,0.1471,0.1284,0.2327,0.1637,0.1416,0.1619,0.1715,0.183,0.1459,0.1276,0.2165,0.1636,0.1428,0.1377,0.1692,0.1828,0.1246,0.1285,0.2112,0.1562,0.1416,0.1363,0.1877,0.1562,0.1188,0.1179,0.1861,0.1372,0.1214,0.1308,0.1845,0.1553,0.1162,0.1158,0.1762,0.132,0.118,0.1165,0.1779,0.198,0.1174,0.1306,0.1777,0.1605,0.1068,0.1181
9,7199.694,37,0.1471,0.1157,0.2181,0.1272,0.1928,0.1628,0.1787,0.1503,0.1623,0.1142,0.1436,0.1105,0.1652,0.1387,0.1571,0.1245,0.1469,0.1308,0.1587,0.1149,0.1488,0.1206,0.1587,0.1154,0.3119,0.2851,0.1684,0.1981,0.2314,0.1476,0.1486,0.135,0.3279,0.3165,0.1579,0.1689,0.2453,0.1574,0.1455,0.1462,0.3106,0.2885,0.1533,0.1744,0.2267,0.1501,0.1388,0.1379,0.1932,0.2095,0.1464,0.1275,0.2621,0.1724,0.1419,0.1641,0.1919,0.2051,0.1465,0.1271,0.2455,0.1756,0.1439,0.1373,0.1908,0.1962,0.1246,0.1276,0.2426,0.1672,0.1402,0.1355,0.1977,0.1649,0.1193,0.1189,0.1941,0.1401,0.1172,0.1309,0.1969,0.1679,0.1157,0.1165,0.1914,0.1396,0.1191,0.1173,0.1925,0.2139,0.1179,0.1265,0.1913,0.1598,0.1078,0.1142
10,8099.679,37.2,0.1477,0.1154,0.2153,0.126,0.1885,0.1642,0.1762,0.1579,0.1631,0.1141,0.1422,0.1107,0.1668,0.1384,0.158,0.1227,0.1481,0.1285,0.1442,0.115,0.1461,0.1169,0.1573,0.1136,0.3617,0.3174,0.1673,0.1989,0.2508,0.1554,0.1442,0.1346,0.3678,0.3142,0.1572,0.1699,0.2648,0.1674,0.1437,0.1442,0.3501,0.3325,0.1542,0.1741,0.2483,0.1588,0.1389,0.139,0.219,0.2279,0.1464,0.1279,0.2948,0.184,0.1411,0.1649,0.2075,0.2243,0.1461,0.1282,0.2747,0.1931,0.1435,0.139,0.2064,0.2202,0.1252,0.1272,0.282,0.177,0.1414,0.1365,0.2119,0.1703,0.1194,0.1181,0.2063,0.1444,0.1216,0.1317,0.2132,0.1741,0.116,0.1168,0.2046,0.1407,0.1163,0.1161,0.2059,0.2212,0.1181,0.1286,0.2074,0.163,0.1078,0.1139
