Cell,Media,Strain
A1,LB,BLANK
A2,LB,BLANK
A3,LB,BLANK
A4,LB,MAL8
A5,LB,MAL8
A6,LB,MAL8
A7,LB,MAL1
A8,LB,MAL1
A9,LB,MAL1
A10,LB,MAL4
A11,LB,MAL4
A12,LB,MAL4
B1,MALATHIONANDLB,BLANK
B2,MALATHIONANDLB,BLANK
B3,MALATHIONANDLB,BLANK
B4,MALATHIONANDLB,MAL8
B5,MALATHIONANDLB,MAL8
B6,MALATHIONANDLB,MAL8
B7,MALATHIONANDLB,MAL1
B8,MALATHIONANDLB,MAL1
B9,MALATHIONANDLB,MAL1
B10,MALATHIONANDLB,MAL4
B11,MALATHIONANDLB,MAL4
B12,MALATHIONANDLB,MAL4
C1,H2O,BLANK
C2,H2O,BLANK
C3,H2O,BLANK
C4,H2O,MAL8
C5,H2O,MAL8
C6,H2O,MAL8
C7,H2O,MAL1
C8,H2O,MAL1
C9,H2O,MAL1
C10,H2O,MAL4
C11,H2O,MAL4
C12,H2O,MAL4
D1,MALATHION,BLANK
D2,MALATHION,BLANK
D3,MALATHION,BLANK
D4,MALATHION,MAL8
D5,MALATHION,MAL8
D6,MALATHION,MAL8
D7,MALATHION,MAL1
D8,MALATHION,MAL1
D9,MALATHION,MAL1
D10,MALATHION,MAL4
D11,MALATHION,MAL4
D12,MALATHION,MAL4
E1,LAMBDACYHALOTHRIN,BLANK
E2,LAMBDACYHALOTHRIN,BLANK
E3,LAMBDACYHALOTHRIN,BLANK
E4,LB,MAL10
E5,LB,MAL10
E6,LB,MAL10
E7,LB,MAL5
E8,LB,MAL5
E9,LB,MAL5
E10,LB,LCY1
E11,LB,LCY1
E12,LB,LCY1
F1,NA,NA
F2,NA,NA
F3,NA,NA
F4,MALATHIONANDLB,MAL10
F5,MALATHIONANDLB,MAL10
F6,MALATHIONANDLB,MAL10
F7,MALATHIONANDLB,MAL5
F8,MALATHIONANDLB,MAL5
F9,MALATHIONANDLB,MAL5
F10,LAMBDACYHALOTHRINANDLB,LCY1
F11,LAMBDACYHALOTHRINANDLB,LCY1
F12,LAMBDACYHALOTHRINANDLB,LCY1
G1,LAMBDACYHALOTHRINANDLB,BLANK
G2,LAMBDACYHALOTHRINANDLB,BLANK
G3,LAMBDACYHALOTHRINANDLB,BLANK
G4,H2O,MAL10
G5,H2O,MAL10
G6,H2O,MAL10
G7,H2O,MAL5
G8,H2O,MAL5
G9,H2O,MAL5
G10,H2O,LCY1
G11,H2O,LCY1
G12,H2O,LCY1
H1,NA,NA
H2,NA,NA
H3,NA,NA
H4,MALATHION,MAL10
H5,MALATHION,MAL10
H6,MALATHION,MAL10
H7,MALATHION,MAL5
H8,MALATHION,MAL5
H9,MALATHION,MAL5
H10,LAMBDACYHALOTHRIN,LCY1
H11,LAMBDACYHALOTHRIN,LCY1
H12,LAMBDACYHALOTHRIN,LCY1
