Cell,Media,Strain
A1,LB,BLANK
A2,LB,BLANK
A3,LB,BLANK
A4,LB,IMID2
A5,LB,IMID2
A6,LB,IMID2
A7,LB,IMID5
A8,LB,IMID5
A9,LB,IMID5
A10,LB,LCY01
A11,LB,LCY01
A12,LB,LCY01
B1,H2O,BLANK
B2,H2O,BLANK
B3,H2O,BLANK
B4,H2O,IMID2
B5,H2O,IMID2
B6,H2O,IMID2
B7,H2O,IMID5
B8,H2O,IMID5
B9,H2O,IMID5
B10,H2O,LCY01
B11,H2O,LCY01
B12,H2O,LCY01
C1,IMIDACLOPRID,BLANK
C2,IMIDACLOPRID,BLANK
C3,IMIDACLOPRID,BLANK
C4,IMIDACLOPRID,IMID2
C5,IMIDACLOPRID,IMID2
C6,IMIDACLOPRID,IMID2
C7,IMIDACLOPRID,IMID5
C8,IMIDACLOPRID,IMID5
C9,IMIDACLOPRID,IMID5
C10,LAMBDACYHALOTHRIN,LCY01
C11,LAMBDACYHALOTHRIN,LCY01
C12,LAMBDACYHALOTHRIN,LCY01
D1,IMIDACLOPRIDANDLB,BLANK
D2,IMIDACLOPRIDANDLB,BLANK
D3,IMIDACLOPRIDANDLB,BLANK
D4,IMIDACLOPRIDANDLB,IMID2
D5,IMIDACLOPRIDANDLB,IMID2
D6,IMIDACLOPRIDANDLB,IMID2
D7,IMIDACLOPRIDANDLB,IMID5
D8,IMIDACLOPRIDANDLB,IMID5
D9,IMIDACLOPRIDANDLB,IMID5
D10,LAMBDACYHALOTHRINANDLB,LCY01
D11,LAMBDACYHALOTHRINANDLB,LCY01
D12,LAMBDACYHALOTHRINANDLB,LCY01
E1,LAMBDACYHALOTHRIN,BLANK
E2,LAMBDACYHALOTHRIN,BLANK
E3,LAMBDACYHALOTHRIN,BLANK
E4,LB,IMID3
E5,LB,IMID3
E6,LB,IMID3
E7,LB,IMID8
E8,LB,IMID8
E9,LB,IMID8
E10,LB,LCY2
E11,LB,LCY2
E12,LB,LCY2
F1,LAMBDACYHALOTHRINANDLB,BLANK
F2,LAMBDACYHALOTHRINANDLB,BLANK
F3,LAMBDACYHALOTHRINANDLB,BLANK
F4,H2O,IMID3
F5,H2O,IMID3
F6,H2O,IMID3
F7,H2O,IMID8
F8,H2O,IMID8
F9,H2O,IMID8
F10,H2O,LCY2
F11,H2O,LCY2
F12,H2O,LCY2
G1,NA,NA
G2,NA,NA
G3,NA,NA
G4,IMIDACLOPRID,IMID3
G5,IMIDACLOPRID,IMID3
G6,IMIDACLOPRID,IMID3
G7,IMIDACLOPRID,IMID8
G8,IMIDACLOPRID,IMID8
G9,IMIDACLOPRID,IMID8
G10,LAMBDACYHALOTHRIN,LCY2
G11,LAMBDACYHALOTHRIN,LCY2
G12,LAMBDACYHALOTHRIN,LCY2
H1,NA,NA
H2,NA,NA
H3,NA,NA
H4,IMIDACLOPRIDANDLB,IMID3
H5,IMIDACLOPRIDANDLB,IMID3
H6,IMIDACLOPRIDANDLB,IMID3
H7,IMIDACLOPRIDANDLB,IMID8
H8,IMIDACLOPRIDANDLB,IMID8
H9,IMIDACLOPRIDANDLB,IMID8
H10,LAMBDACYHALOTHRINANDLB,LCY2
H11,LAMBDACYHALOTHRINANDLB,LCY2
H12,LAMBDACYHALOTHRINANDLB,LCY2
