Cell,Media,Strain
A1,LB,BLANK
A2,LB,BLANK
A3,LB,BLANK
A4,LB,PERM4
A5,LB,PERM4
A6,LB,PERM4
A7,LB,PERM7
A8,LB,PERM7
A9,LB,PERM7
A10,LB,CISPERM1
A11,LB,CISPERM1
A12,LB,CISPERM1
B1,H2O,BLANK
B2,H2O,BLANK
B3,H2O,BLANK
B4,H2O,PERM4
B5,H2O,PERM4
B6,H2O,PERM4
B7,H2O,PERM7
B8,H2O,PERM7
B9,H2O,PERM7
B10,H2O,CISPERM1
B11,H2O,CISPERM1
B12,H2O,CISPERM1
C1,PERMETHRIN,BLANK
C2,PERMETHRIN,BLANK
C3,PERMETHRIN,BLANK
C4,PERMETHRIN,PERM4
C5,PERMETHRIN,PERM4
C6,PERMETHRIN,PERM4
C7,PERMETHRIN,PERM7
C8,PERMETHRIN,PERM7
C9,PERMETHRIN,PERM7
C10,PERMETHRIN,CISPERM1
C11,PERMETHRIN,CISPERM1
C12,PERMETHRIN,CISPERM1
D1,PERMETHRINANDLB,BLANK
D2,PERMETHRINANDLB,BLANK
D3,PERMETHRINANDLB,BLANK
D4,PERMETHRINANDLB,PERM4
D5,PERMETHRINANDLB,PERM4
D6,PERMETHRINANDLB,PERM4
D7,PERMETHRINANDLB,PERM7
D8,PERMETHRINANDLB,PERM7
D9,PERMETHRINANDLB,PERM7
D10,PERMETHRINANDLB,CISPERM1
D11,PERMETHRINANDLB,CISPERM1
D12,PERMETHRINANDLB,CISPERM1
E1,LAMBDACYHALOTHRIN,BLANK
E2,LAMBDACYHALOTHRIN,BLANK
E3,LAMBDACYHALOTHRIN,BLANK
E4,LB,CYPERM2
E5,LB,CYPERM2
E6,LB,CYPERM2
E7,LB,LCY3
E8,LB,LCY3
E9,LB,LCY3
E10,NA,NA
E11,NA,NA
E12,NA,NA
F1,LAMBDACYHALOTHRINANDLB,BLANK
F2,LAMBDACYHALOTHRINANDLB,BLANK
F3,LAMBDACYHALOTHRINANDLB,BLANK
F4,H2O,CYPERM2
F5,H2O,CYPERM2
F6,H2O,CYPERM2
F7,H2O,LCY3
F8,H2O,LCY3
F9,H2O,LCY3
F10,NA,NA
F11,NA,NA
F12,NA,NA
G1,NA,NA
G2,NA,NA
G3,NA,NA
G4,PERMETHRIN,CYPERM2
G5,PERMETHRIN,CYPERM2
G6,PERMETHRIN,CYPERM2
G7,LAMBDACYHALOTHRIN,LCY3
G8,LAMBDACYHALOTHRIN,LCY3
G9,LAMBDACYHALOTHRIN,LCY3
G10,NA,NA
G11,NA,NA
G12,NA,NA
H1,NA,NA
H2,NA,NA
H3,NA,NA
H4,PERMETHRINANDLB,CYPERM2
H5,PERMETHRINANDLB,CYPERM2
H6,PERMETHRINANDLB,CYPERM2
H7,LAMBDACYHALOTHRINANDLB,LCY3
H8,LAMBDACYHALOTHRINANDLB,LCY3
H9,LAMBDACYHALOTHRINANDLB,LCY3
H10,NA,NA
H11,NA,NA
H12,NA,NA
