Cell,Media,Strain
A1,LB,Blank
A2,LB,Blank
A3,LB,Blank
A4,LB,BIF2
A5,LB,BIF2
A6,LB,BIF2
A7,LB,BiF7
A8,LB,BiF7
A9,LB,BiF7
A10,LB,LCY4
A11,LB,LCY4
A12,LB,LCY4
B1,H2O,Blank
B2,H2O,Blank
B3,H2O,Blank
B4,H2O,BIF2
B5,H2O,BIF2
B6,H2O,BIF2
B7,H2O,BiF7
B8,H2O,BiF7
B9,H2O,BiF7
B10,H2O,LCY4
B11,H2O,LCY4
B12,H2O,LCY4
C1,Bifenthrin,Blank
C2,Bifenthrin,Blank
C3,Bifenthrin,Blank
C4,Bifenthrin,BIF2
C5,Bifenthrin,BIF2
C6,Bifenthrin,BIF2
C7,Bifenthrin,BiF7
C8,Bifenthrin,BiF7
C9,Bifenthrin,BiF7
C10,LambdaCyhalothrin,LCY4
C11,LambdaCyhalothrin,LCY4
C12,LambdaCyhalothrin,LCY4
D1,BifenthrinANDLB,Blank
D2,BifenthrinANDLB,Blank
D3,BifenthrinANDLB,Blank
D4,BifenthrinANDLB,BIF2
D5,BifenthrinANDLB,BIF2
D6,BifenthrinANDLB,BIF2
D7,BifenthrinANDLB,BiF7
D8,BifenthrinANDLB,BiF7
D9,BifenthrinANDLB,BiF7
D10,LambdaCyhalothrinANDLB,LCY4
D11,LambdaCyhalothrinANDLB,LCY4
D12,LambdaCyhalothrinANDLB,LCY4
E1,LambdaCyhalothrin,Blank
E2,LambdaCyhalothrin,Blank
E3,LambdaCyhalothrin,Blank
E4,LB,BIF6
E5,LB,BIF6
E6,LB,BIF6
E7,LB,BIF9
E8,LB,BIF9
E9,LB,BIF9
E10,LB,FLUPC8
E11,LB,FLUPC8
E12,LB,FLUPC8
F1,Flupyradifurone,Blank
F2,Flupyradifurone,Blank
F3,Flupyradifurone,Blank
F4,H2O,BIF6
F5,H2O,BIF6
F6,H2O,BIF6
F7,H2O,BIF9
F8,H2O,BIF9
F9,H2O,BIF9
F10,H2O,FLUPC8
F11,H2O,FLUPC8
F12,H2O,FLUPC8
G1,LambdaCyhalothrinANDLB,Blank
G2,LambdaCyhalothrinANDLB,Blank
G3,LambdaCyhalothrinANDLB,Blank
G4,Bifenthrin,BIF6
G5,Bifenthrin,BIF6
G6,Bifenthrin,BIF6
G7,Bifenthrin,BIF9
G8,Bifenthrin,BIF9
G9,Bifenthrin,BIF9
G10,Flupyradifurone,FLUPC8
G11,Flupyradifurone,FLUPC8
G12,Flupyradifurone,FLUPC8
H1,FlupyradifuroneANDLB,Blank
H2,FlupyradifuroneANDLB,Blank
H3,FlupyradifuroneANDLB,Blank
H4,BifenthrinANDLB,BIF6
H5,BifenthrinANDLB,BIF6
H6,BifenthrinANDLB,BIF6
H7,BifenthrinANDLB,BIF9
H8,BifenthrinANDLB,BIF9
H9,BifenthrinANDLB,BIF9
H10,FlupyradifuroneANDLB,FLUPC8
H11,FlupyradifuroneANDLB,FLUPC8
H12,FlupyradifuroneANDLB,FLUPC8
