Cycle Nr.,Time [s],Temp. [°C],A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
1,0,35.3,0.138,0.1922,0.5045,0.2993,0.415,0.1322,0.2199,0.1481,0.1465,0.1507,0.4408,0.2805,0.317,0.1335,0.2553,0.1352,0.1657,0.1782,0.4177,0.2797,0.3216,0.1296,0.2575,0.1334,0.1682,0.1481,0.3692,0.291,0.184,0.1647,0.3899,0.279,0.1806,0.1579,0.373,0.2713,0.2014,0.1637,0.3909,0.2916,0.1578,0.1388,0.3817,0.2853,0.1704,0.1478,0.3838,0.2853,0.1414,0.144,0.358,0.2665,0.1416,0.1456,0.3597,0.2703,0.1414,0.1359,0.3515,0.2575,0.1513,0.1399,0.3507,0.2896,0.15,0.1248,0.3559,0.2586,0.1437,0.1351,0.3672,0.266,0.1415,0.132,0.4694,0.1638,0.1418,0.1514,0.1354,0.1484,0.1388,0.1329,0.4856,0.1801,0.1401,0.1748,0.1393,0.1359,0.1287,0.1935,0.4794,0.1755,0.1433,0.1963,0.1461,0.1645
2,899.626,37.4,0.1364,0.2017,0.4795,0.2959,0.3825,0.1311,0.2156,0.1444,0.1458,0.146,0.4322,0.2785,0.3088,0.1332,0.2557,0.1304,0.1672,0.1625,0.4163,0.2781,0.3123,0.1266,0.2629,0.131,0.1709,0.1391,0.3654,0.2945,0.1901,0.1506,0.3891,0.2835,0.1843,0.1593,0.3653,0.2769,0.2116,0.1601,0.3848,0.2922,0.1629,0.1361,0.3783,0.2859,0.1813,0.1426,0.3753,0.2885,0.1467,0.1431,0.3498,0.271,0.1495,0.137,0.3565,0.2703,0.1485,0.1371,0.3503,0.265,0.162,0.1346,0.3477,0.2903,0.1558,0.1259,0.3524,0.2652,0.1504,0.1345,0.3695,0.2737,0.1449,0.1228,0.4777,0.1644,0.1459,0.1468,0.1371,0.1473,0.1418,0.1337,0.4894,0.183,0.1449,0.1645,0.1412,0.1365,0.1304,0.2166,0.4883,0.176,0.1448,0.1792,0.1474,0.1636
3,1799.608,37.2,0.1369,0.2113,0.4807,0.3235,0.3884,0.1266,0.2171,0.1444,0.1498,0.1458,0.4146,0.2791,0.3116,0.1324,0.2518,0.1317,0.1649,0.1553,0.3957,0.2799,0.3101,0.1272,0.2667,0.132,0.1755,0.1324,0.3606,0.3025,0.204,0.1446,0.3771,0.2966,0.1913,0.1412,0.3634,0.2865,0.2271,0.1564,0.3831,0.3033,0.1719,0.1289,0.3715,0.2915,0.1984,0.1448,0.367,0.3029,0.1518,0.1322,0.3446,0.288,0.16,0.1353,0.3478,0.2814,0.1536,0.1324,0.34,0.2759,0.168,0.1377,0.3444,0.3019,0.162,0.1212,0.3419,0.2783,0.1617,0.1344,0.3558,0.2844,0.1478,0.1235,0.4728,0.1699,0.1499,0.1452,0.1328,0.1531,0.1453,0.1273,0.4802,0.185,0.1485,0.1667,0.1379,0.142,0.1316,0.2003,0.4866,0.1804,0.1495,0.1755,0.1432,0.1665
4,2699.592,37,0.1354,0.2206,0.4634,0.297,0.3732,0.1242,0.2151,0.142,0.1514,0.1464,0.4011,0.2802,0.3157,0.1297,0.2537,0.1301,0.1671,0.1609,0.3731,0.2782,0.3123,0.1244,0.2702,0.1296,0.1848,0.1345,0.349,0.3147,0.2231,0.146,0.3788,0.3134,0.2028,0.1421,0.3515,0.2987,0.2494,0.1544,0.3788,0.3196,0.1833,0.13,0.3694,0.3006,0.2204,0.1439,0.3677,0.3209,0.1617,0.1335,0.3364,0.3069,0.1811,0.1418,0.3434,0.3002,0.1629,0.1386,0.3387,0.2976,0.1869,0.14,0.3423,0.3183,0.1728,0.1213,0.3407,0.2988,0.1812,0.1304,0.3532,0.3015,0.1498,0.1201,0.4825,0.1722,0.1537,0.1454,0.1335,0.1567,0.145,0.1322,0.4864,0.1912,0.1542,0.1645,0.1391,0.1465,0.1326,0.1957,0.4949,0.184,0.1532,0.1741,0.1442,0.1721
5,3599.553,37.3,0.1356,0.2262,0.4578,0.2935,0.366,0.1246,0.2206,0.1403,0.1515,0.1462,0.3981,0.2802,0.3172,0.1289,0.2535,0.1295,0.1672,0.1631,0.3698,0.2779,0.3156,0.123,0.2741,0.1294,0.204,0.1353,0.3552,0.3336,0.2491,0.1503,0.3776,0.3373,0.223,0.1475,0.3425,0.3215,0.2716,0.157,0.3819,0.35,0.2034,0.1335,0.3545,0.3186,0.2505,0.1445,0.3691,0.3495,0.1811,0.1395,0.3279,0.3375,0.2107,0.1433,0.3448,0.3266,0.1812,0.141,0.3257,0.3302,0.2151,0.1409,0.3372,0.3478,0.1897,0.1205,0.3278,0.3335,0.211,0.1374,0.3558,0.3254,0.1512,0.1192,0.4755,0.1779,0.1593,0.1481,0.1338,0.1619,0.1469,0.1407,0.4845,0.1949,0.1591,0.1538,0.1403,0.15,0.1349,0.2187,0.4921,0.1857,0.1594,0.1869,0.1461,0.171
6,4499.53,37.2,0.135,0.235,0.451,0.2943,0.3938,0.126,0.2212,0.141,0.1535,0.1487,0.3832,0.2818,0.3141,0.1306,0.2536,0.1305,0.1683,0.1611,0.3568,0.2788,0.3157,0.1232,0.2727,0.129,0.2313,0.1361,0.3375,0.3625,0.33,0.1457,0.3702,0.3708,0.2561,0.1508,0.3434,0.3504,0.3463,0.1529,0.3761,0.3883,0.231,0.1322,0.3564,0.3486,0.3264,0.1409,0.362,0.3836,0.2101,0.1418,0.323,0.3701,0.2455,0.1384,0.3357,0.362,0.2084,0.1357,0.3154,0.3589,0.2487,0.1344,0.3345,0.3832,0.2192,0.123,0.3238,0.363,0.245,0.1296,0.3463,0.3562,0.1514,0.1193,0.4627,0.1805,0.167,0.1461,0.1319,0.1708,0.1477,0.1403,0.4802,0.1986,0.1665,0.1602,0.1403,0.1612,0.135,0.1994,0.4863,0.1915,0.1679,0.1754,0.1448,0.1839
7,5399.504,37.2,0.1355,0.2361,0.4495,0.2905,0.3617,0.1254,0.2141,0.1395,0.153,0.1473,0.3829,0.2807,0.3165,0.1274,0.2557,0.13,0.1693,0.1718,0.3609,0.2773,0.3122,0.1216,0.2747,0.1295,0.2721,0.1375,0.336,0.39,0.3726,0.1461,0.3719,0.4152,0.2969,0.1544,0.3386,0.3813,0.3881,0.1616,0.385,0.4268,0.2664,0.1364,0.352,0.3794,0.3551,0.149,0.3656,0.4253,0.249,0.1465,0.3181,0.4075,0.3017,0.1469,0.3384,0.4022,0.2469,0.1539,0.3163,0.3992,0.3014,0.1439,0.3322,0.4231,0.2563,0.1214,0.311,0.3974,0.3004,0.1398,0.3466,0.3949,0.1534,0.1277,0.4746,0.1846,0.181,0.1466,0.1356,0.1828,0.1506,0.1364,0.4856,0.2011,0.1771,0.1587,0.1412,0.1694,0.1387,0.212,0.4935,0.1941,0.181,0.1909,0.1453,0.192
8,6299.484,36.8,0.1353,0.2449,0.4333,0.2937,0.385,0.1223,0.2128,0.1376,0.1546,0.1471,0.355,0.2829,0.3123,0.1294,0.254,0.1276,0.1653,0.157,0.3475,0.2805,0.3105,0.1232,0.2736,0.1275,0.3267,0.1364,0.3357,0.4371,0.4728,0.1503,0.3607,0.4457,0.3564,0.1511,0.3327,0.4257,0.5079,0.1596,0.3752,0.4622,0.3283,0.1315,0.3384,0.4226,0.49,0.1464,0.3596,0.4625,0.3055,0.1415,0.3064,0.4596,0.3772,0.1475,0.3325,0.4508,0.3021,0.138,0.3038,0.4486,0.3732,0.1372,0.3266,0.4687,0.3145,0.1229,0.3061,0.4449,0.3762,0.1328,0.3392,0.4423,0.1544,0.1222,0.4579,0.1898,0.1913,0.1446,0.1319,0.2027,0.151,0.1403,0.4731,0.2086,0.1843,0.1569,0.1411,0.1888,0.1378,0.181,0.4847,0.1975,0.1949,0.1696,0.148,0.216
9,7199.457,36.8,0.1345,0.2514,0.4234,0.2903,0.3738,0.1231,0.2131,0.1382,0.1595,0.1468,0.3458,0.2848,0.3133,0.1304,0.251,0.1289,0.1698,0.1648,0.3351,0.2818,0.3168,0.1234,0.275,0.1291,0.437,0.1354,0.3229,0.4858,0.5638,0.1467,0.3527,0.4896,0.4745,0.1472,0.3259,0.4767,0.6023,0.1581,0.3675,0.5102,0.4578,0.1329,0.3342,0.4692,0.6033,0.144,0.3534,0.5103,0.4017,0.1399,0.2996,0.5113,0.4716,0.15,0.3208,0.4997,0.3969,0.1382,0.2932,0.5038,0.465,0.1375,0.3227,0.5167,0.4064,0.1255,0.2988,0.5005,0.4712,0.1321,0.3292,0.4867,0.1578,0.1201,0.4692,0.1982,0.2022,0.1448,0.1329,0.216,0.1539,0.1314,0.4784,0.2173,0.1936,0.1485,0.1396,0.2047,0.1392,0.2136,0.4907,0.2008,0.2087,0.1554,0.1464,0.229
10,8099.434,37.1,0.1334,0.2595,0.4203,0.2882,0.3759,0.1234,0.2168,0.1383,0.1614,0.1456,0.3435,0.2834,0.3127,0.1293,0.2518,0.1282,0.1719,0.1551,0.3289,0.281,0.3171,0.1227,0.2765,0.1287,0.5848,0.1334,0.3198,0.5514,0.6581,0.1488,0.3545,0.5697,0.6266,0.1408,0.3208,0.5507,0.6487,0.158,0.3637,0.6019,0.6174,0.1303,0.3258,0.5381,0.6402,0.1465,0.3493,0.6037,0.5592,0.1339,0.2944,0.5963,0.6353,0.1479,0.3157,0.5721,0.5473,0.1452,0.2875,0.5943,0.6193,0.147,0.3187,0.5857,0.5437,0.121,0.2896,0.577,0.6259,0.1372,0.3241,0.5502,0.1581,0.1162,0.4698,0.2104,0.212,0.1455,0.1336,0.2251,0.1564,0.1307,0.4766,0.2303,0.2034,0.1509,0.1438,0.2226,0.1419,0.2276,0.4925,0.2102,0.2213,0.1682,0.1491,0.2498
