Name,Date,timeh,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5
Dominique,20181206,0,0.098499998,0.093099996,0.093099996,0.113700002,0.116099998,0.114799999,0.143800005,0.145300001,0.145699993,0.139699996,0.133599997,0.135700002,0.092,0.092299998,0.093800001,0.144700006,0.144800007,0.145300001,0.109200001,0.110200003,0.108599998,0.090400003,0.088799998,0.092200004,0.1061,0.103200004,0.103699997,0.1061,0.107500002,0.105999999,0.097199999,0.109499998,0.097099997,0.090599999,0.089900002,0.0902
Dominique,20181206,0.5,0.099100001,0.093699999,0.0933,0.113799997,0.120499998,0.1153,0.144299999,0.146300003,0.145999998,0.140100002,0.134299994,0.136299998,0.092,0.091399997,0.0924,0.147799999,0.147,0.149800003,0.1096,0.112099998,0.108900003,0.090400003,0.089199997,0.092200004,0.106600002,0.103500001,0.103399999,0.1065,0.108000003,0.106700003,0.097000003,0.109200001,0.096699998,0.0911,0.0902,0.090499997
Dominique,20181206,1,0.100199997,0.095100001,0.093999997,0.1162,0.119099997,0.118100002,0.147699997,0.150399998,0.149700001,0.141499996,0.135100007,0.137700006,0.091899998,0.092500001,0.092500001,0.155300006,0.154200003,0.157299995,0.111199997,0.112800002,0.110600002,0.091300003,0.090400003,0.093099996,0.1065,0.103600003,0.103500001,0.107900001,0.1096,0.108499996,0.0973,0.108199999,0.0964,0.092699997,0.092,0.092600003
Dominique,20181206,1.5,0.102300003,0.097400002,0.0964,0.120999999,0.123800002,0.123099998,0.155699998,0.158399999,0.157100007,0.144899994,0.137899995,0.140699998,0.092500001,0.094099998,0.094099998,0.164000005,0.163499996,0.167099997,0.113899998,0.116099998,0.113899998,0.093099996,0.093000002,0.0955,0.107100003,0.104400002,0.103799999,0.111299999,0.113200001,0.1118,0.0973,0.1087,0.0964,0.096100003,0.093800001,0.0964
Dominique,20181206,2,0.102700003,0.098999999,0.098899998,0.127599999,0.130600005,0.130500004,0.1646,0.166199997,0.165999994,0.147699997,0.140300006,0.144800007,0.092900001,0.094599999,0.095799997,0.174400002,0.174700007,0.179000005,0.117899999,0.120399997,0.118500002,0.0942,0.093999997,0.097800002,0.107500002,0.105499998,0.104500003,0.116700001,0.119099997,0.1175,0.097000003,0.108000003,0.096299998,0.099399999,0.097000003,0.101400003
Dominique,20181206,2.5,0.104400002,0.100199997,0.1008,0.137799993,0.1417,0.1417,0.174199998,0.175600007,0.175899997,0.150000006,0.1426,0.148100004,0.0933,0.095399998,0.095899999,0.186900005,0.188600004,0.193399996,0.124200001,0.128299996,0.1259,0.097099997,0.097900003,0.101000004,0.108099997,0.105800003,0.1052,0.126000002,0.1294,0.127000004,0.096799999,0.107900001,0.096299998,0.100199997,0.099799998,0.103
Dominique,20181206,3,0.107699998,0.103900001,0.103399999,0.150900006,0.155599996,0.155499995,0.184499994,0.186700001,0.186900005,0.155000001,0.145300001,0.148699999,0.0955,0.097400002,0.096600004,0.201399997,0.204899997,0.2095,0.133900002,0.138600007,0.136700004,0.100100003,0.098300003,0.102799997,0.108999997,0.106600002,0.105499998,0.1382,0.143099994,0.140400007,0.096799999,0.1083,0.096299998,0.0995,0.1021,0.106399998
Dominique,20181206,3.5,0.106799997,0.104800001,0.105700001,0.163800001,0.167699993,0.170300007,0.1954,0.197099999,0.198699996,0.155399993,0.149299994,0.153200001,0.096199997,0.096799999,0.098200001,0.217099994,0.222900003,0.227500007,0.144999996,0.149499998,0.149499998,0.100699998,0.100500003,0.103900001,0.109999999,0.107600004,0.106299996,0.149599999,0.156000003,0.152899995,0.096900001,0.108099997,0.096299998,0.097000003,0.102600001,0.102200002
Dominique,20181206,4,0.106399998,0.1052,0.1065,0.178100005,0.1822,0.185599998,0.206799999,0.208700001,0.210899994,0.157000005,0.150900006,0.155499995,0.097000003,0.097400002,0.099200003,0.233799994,0.2412,0.245700002,0.157399997,0.162300006,0.163200006,0.100100003,0.101400003,0.102200002,0.111100003,0.108900003,0.107699998,0.160500005,0.166099995,0.165299997,0.097000003,0.108400002,0.096299998,0.092900001,0.103699997,0.115999997
Dominique,20181206,4.5,0.111000001,0.106600002,0.104699999,0.192900002,0.195500001,0.202199996,0.2192,0.221200004,0.224399999,0.159899995,0.153099999,0.157199994,0.097999997,0.096000001,0.099299997,0.250999987,0.261400014,0.265399993,0.170599997,0.176300004,0.178499997,0.098200001,0.101800002,0.099600002,0.112599999,0.110200003,0.1083,0.172000006,0.177399993,0.177000001,0.097599998,0.108400002,0.096299998,0.098099999,0.101300001,0.1087
Dominique,20181206,5,0.111500002,0.107699998,0.1061,0.207800001,0.213499993,0.219099999,0.2315,0.233899996,0.237200007,0.162900001,0.156499997,0.161400005,0.099299997,0.095200002,0.099699996,0.26910001,0.281699985,0.284700006,0.184699997,0.1919,0.194299996,0.097199999,0.099299997,0.101700001,0.113499999,0.111699998,0.110600002,0.184200004,0.188299999,0.1884,0.098399997,0.1087,0.096299998,0.104900003,0.105400004,0.097400002
Dominique,20181206,5.5,0.112899996,0.108400002,0.1052,0.224099994,0.227400005,0.236399993,0.244100004,0.246999994,0.250400007,0.165900007,0.159600005,0.163900003,0.099799998,0.095700003,0.100000002,0.287099987,0.3037,0.304800004,0.200399995,0.207599998,0.210999996,0.096299998,0.097599998,0.1021,0.115900002,0.112800002,0.1118,0.196500003,0.200800002,0.201399997,0.099200003,0.109099999,0.096299998,0.103399999,0.1021,0.111299999
Dominique,20181206,6,0.115099996,0.109099999,0.105400004,0.240400001,0.245000005,0.254799992,0.256500006,0.261099994,0.264899999,0.168799996,0.164900005,0.167199999,0.100100003,0.095799997,0.100299999,0.305400014,0.323599994,0.324400008,0.216800004,0.222900003,0.228,0.0973,0.099200003,0.099399999,0.116300002,0.114500001,0.113200001,0.208700001,0.213599995,0.216100007,0.103600003,0.108499996,0.096299998,0.097800002,0.104199998,0.101000004
Dominique,20181206,6.5,0.116300002,0.110399999,0.105899997,0.257499993,0.263300002,0.273200005,0.269499987,0.274399996,0.27759999,0.172499999,0.165700004,0.171200007,0.099399999,0.096600004,0.099799998,0.32190001,0.343300015,0.342900008,0.232199997,0.239099994,0.245700002,0.097499996,0.104900003,0.099799998,0.118600003,0.115900002,0.114200003,0.2218,0.2271,0.228599995,0.114399999,0.108599998,0.096299998,0.107500002,0.108599998,0.1096
