Name,Date,Cell,Media,Strain
Dominique,20181206,A1,P,Imid 6
Dominique,20181206,B1,P,Imid 6
Dominique,20181206,C1,P,Imid 6
Dominique,20181206,D1,LB,Imid 8
Dominique,20181206,E1,LB,Imid 8
Dominique,20181206,F1,LB,Imid 8
Dominique,20181206,G1,LB,Imid 9
Dominique,20181206,H1,LB,Imid 9
Dominique,20181206,A2,LB,Imid 9
Dominique,20181206,B2,P,Imid 8
Dominique,20181206,C2,P,Imid 8
Dominique,20181206,D2,P,Imid 8
Dominique,20181206,E2,P,Imid 9
Dominique,20181206,F2,P,Imid 9
Dominique,20181206,G2,P,Imid 9
Dominique,20181206,H2,LB,Imid 6
Dominique,20181206,A3,LB,Imid 6
Dominique,20181206,B3,LB,Imid 6
Dominique,20181206,C3,LB,Imid 2
Dominique,20181206,D3,LB,Imid 2
Dominique,20181206,E3,LB,Imid 2
Dominique,20181206,F3,P,Imid 5
Dominique,20181206,G3,P,Imid 5
Dominique,20181206,H3,P,Imid 5
Dominique,20181206,A4,P,Imid 2
Dominique,20181206,B4,P,Imid 2
Dominique,20181206,C4,P,Imid 2
Dominique,20181206,D4,LB,Imid 5
Dominique,20181206,E4,LB,Imid 5
Dominique,20181206,F4,LB,Imid 5
Dominique,20181206,G4,LB,Blank
Dominique,20181206,H4,LB,Blank
Dominique,20181206,A5,LB,Blank
Dominique,20181206,B5,P,Blank
Dominique,20181206,C5,P,Blank
Dominique,20181206,D5,P,Blank
Dominique,20181214,A1,LB,Imid 6
Dominique,20181214,B1,LB,Imid 6
Dominique,20181214,C1,LB,Imid 6
Dominique,20181214,D1,LB,Imid 5
Dominique,20181214,E1,LB,Imid 5
Dominique,20181214,F1,LB,Imid 5
Dominique,20181214,G1,P,Imid 5
Dominique,20181214,A2,P,Imid 5
Dominique,20181214,B2,P,Imid 5
Dominique,20181214,C2,LB,Blank
Dominique,20181214,D2,LB,Blank
Dominique,20181214,E2,LB,Blank
Dominique,20181214,F2,LB,Imid 8
Dominique,20181214,G2,LB,Imid 8
Dominique,20181214,A3,LB,Imid 8
Dominique,20181214,B3,P,Imid 8
Dominique,20181214,C3,P,Imid 8
Dominique,20181214,D3,P,Imid 8
Dominique,20181214,E3,LB,Imid 2
Dominique,20181214,F3,LB,Imid 2
Dominique,20181214,G3,LB,Imid 2
Dominique,20181214,A4,P,Imid 2
Dominique,20181214,B4,P,Imid 2
Dominique,20181214,C4,P,Imid 2
Dominique,20181214,D4,P,Imid 6
Dominique,20181214,E4,P,Imid 6
Dominique,20181214,F4,P,Imid 6
Dominique,20181214,G4,P,Blank
Dominique,20181214,A5,P,Blank
Dominique,20181214,B5,P,Blank
