strain,A_mean,A_median,A_hdi_low,A_hdi_high,mu_mean,mu_median,mu_hdi_low,mu_hdi_high,lam_mean,lam_median,lam_hdi_low,lam_hdi_high
FlupyradifuroneANDLB-FLUPC8,1.4069748120896892,1.4066893672076137,1.3909856180831726,1.423535515850801,0.8104079697404917,0.8188760005932734,0.6924983572331362,0.900834052076652,3.478498163853644,3.4861689685535517,3.3512876205890265,3.5886210838226833
BifenthrinANDLB-BIF2,1.6224038041061442,1.622855450686217,1.6006332563587353,1.6456076725715163,0.1685758599732689,0.16789001183499014,0.16140197801392037,0.17736725090289454,0.40543830480815235,0.3922140536854397,0.21579434432905353,0.6581704744545407
BifenthrinANDLB-BiF7,1.6152335116917687,1.6153876748874514,1.5928307287969476,1.6386867906263267,0.19573916476089318,0.1950099048150328,0.1872934448889453,0.20543320052419103,0.4642313287555745,0.4568364376538253,0.29286595529433546,0.646682415972851
BifenthrinANDLB-BIF6,1.6217038670951613,1.6201016994810602,1.6015914711747556,1.6446544667350287,0.15582317287256806,0.15615506098948395,0.1481535444436121,0.16249286586409828,0.09736608081236574,0.09849286174571467,-0.14213761678353926,0.3205580304189679
BifenthrinANDLB-BIF9,1.620522729371234,1.6190762037531496,1.601650629647335,1.6425688501551188,0.1684866303609478,0.16900110650166728,0.16013114577648915,0.17547797919640437,0.34270128881374007,0.3640280588595579,0.10827649878268897,0.5316725565006715
LambdaCyhalothrinANDLB-LCY4,1.274367974789836,1.2724408552612716,1.246109146402246,1.3031090783299235,0.13093198982990453,0.13091999646751964,0.12324137404110116,0.13831221375756508,2.923846725525573,2.890137952162769,2.6713110046676203,3.2071829443837028
LB-BIF2,1.6199438689765098,1.6218564355018232,1.5994433540397521,1.637365378935063,0.16840819398379092,0.16733669012458885,0.161258348684803,0.17680919785881977,0.4007550276603056,0.3734329757116861,0.21059614522573789,0.6433353456031496
LB-BiF7,1.617219053668558,1.6191673890839007,1.5898705095652155,1.6361078246819476,0.19707292846868263,0.19803830296807584,0.18784007100059769,0.20581487565875117,0.4872941850385661,0.5061172622807582,0.308323672836345,0.657793969165926
LB-LCY4,1.2782308122377586,1.278355705457626,1.2530897112758885,1.305607201704254,0.1314636637440668,0.13220843888876446,0.12321696447391892,0.138722761402287,2.957615963508153,2.9614061050677223,2.696692083427808,3.2236894719305087
LB-BIF6,1.6203823429536064,1.6186545228246425,1.6037601171704217,1.6465403965221128,0.15585435549850746,0.15675422101702613,0.14808559891206555,0.1623934633542728,0.09103052913921757,0.10282739541339492,-0.1501727654849958,0.3125933758686532
LB-BIF9,1.6216317248248815,1.6194716762647512,1.6040730154834526,1.6434962243950302,0.1686207236116693,0.16950350026500327,0.16042500889197192,0.1755890182312771,0.3482751822354886,0.37150061494712605,0.10933108491405719,0.5295722213840559
LB-FLUPC8,1.4125929870478944,1.411120906726726,1.3991025022718993,1.4306116300990717,0.7249558978994706,0.7339267596312363,0.6381724594327447,0.798544071588444,3.3861117567132397,3.3990279024438492,3.25502765151463,3.482491521446863
LAMBDACYHALOTHRINANDLB-LCY1,1.636726451919052,1.6363348366261303,1.611118287072626,1.665178130375198,0.17705601995651807,0.17701922031365738,0.1681630368831635,0.18705008933373424,3.7317803767932523,3.7206078243291647,3.5524267731861423,3.987069918149924
MALATHIONANDLB-MAL8,1.6676945457413443,1.6671518391785352,1.6347402740308403,1.6973094719235173,0.3223356207259353,0.3214950689491278,0.30590226360712536,0.33918517475145343,1.7980214661129303,1.7925018531437522,1.6686056122964295,1.9315683231566947
MALATHIONANDLB-MAL1,1.4876287358108498,1.4856574957589181,1.4649976751670803,1.5155807176314497,0.26654895838151116,0.26765881611148257,0.2505823460900256,0.27962740259998936,3.4206658424103953,3.4281717706934103,3.246552885325868,3.551447185049965
MALATHIONANDLB-MAL5,1.589657875221831,1.5904593259792765,1.552303497693148,1.6197771438039146,0.29426854630447336,0.29349587924030984,0.2782220543480145,0.3121120309991527,2.707402201030092,2.7134243828290368,2.571302122397713,2.8499578950873605
MALATHIONANDLB-MAL4,1.520653426915834,1.5159954551479393,1.4792111426006411,1.5741293269647954,0.2159725565605018,0.2161691036476855,0.2039086942724801,0.22722945886868806,3.0121996624297283,3.017012033420686,2.835296249103957,3.189602302366904
LB-MAL8,1.6769379315776667,1.6749909153057754,1.6410359456834784,1.7091304083672627,0.31996692963380463,0.3181851627522808,0.30555870911341776,0.3386145105448634,1.7991555707501552,1.7951729500948526,1.6769943424804128,1.932708778804402
LB-MAL10,1.4891918787680594,1.4860346612337567,1.4675480033624733,1.5177204530204655,0.26693863834070464,0.2672303152543999,0.24934644366625006,0.27837211745939966,3.414980169585468,3.435362045972428,3.2327673210963592,3.546537073401912
LB-MAL1,1.4871825176072497,1.4850793729677552,1.4658663142402597,1.5176138063410824,0.26636274116518144,0.26758741846409445,0.2498565550199612,0.279227797320724,3.422213824525388,3.4380387978700395,3.2442700137250156,3.5523723706286874
LB-MAL5,1.5817123466298209,1.5801024170191362,1.5486102016616887,1.6173424641632628,0.29498502440179597,0.2932363751318444,0.28068150307407536,0.31237978017642487,2.708060960719079,2.6932413691555124,2.584405781886128,2.8505745359957677
LB-MAL4,1.533743205107632,1.5353237505332298,1.4790445134852939,1.5749403518372613,0.21427257957162055,0.2130060101092963,0.20412975923719376,0.2284584105264854,2.989106955401707,2.9676734579167414,2.826827381139715,3.1880114682893663
LB-LCY1,1.6320048022353115,1.6343409697716864,1.6080426781997512,1.6542826852222232,0.1792579278061109,0.17892520075415252,0.1706917944568338,0.1887652399581922,3.7683267057174943,3.7566644638792672,3.5410476156690898,3.983574749434333
IMIDACLOPRID-IMID2,0.25297101033909103,0.253963471821429,0.21744366826948047,0.28761903316358717,0.009264826702499689,0.008829374590648933,0.006830531651232347,0.01265576802134763,5.887280381495759,5.379214267419693,2.524381177420949,9.504166581879565
LAMBDACYHALOTHRINANDLB-LCY01,1.773688249947882,1.7727661519784434,1.7495892304924787,1.8004349043630437,0.1933277392980093,0.19363304989188468,0.18307472305975447,0.2002416635413464,3.9259950382596434,3.945625744585799,3.6983414260046628,4.105835666042164
LAMBDACYHALOTHRINANDLB-LCY2,1.1620676564396313,1.162061683158281,1.1431564227422386,1.1850930104714614,0.06674020950096578,0.06710865628531729,0.0613968674998516,0.07112547212531563,1.341754770947256,1.3836424413695259,0.6231730690956288,1.8492950194681097
