strain,pesticide,Ki_mean,Ki_median,Ki_hdi_low,Ki_hdi_high,mu_max_mean,mu_max_median,mu_max_hdi_low,mu_max_hdi_high
FlupyradifuroneANDLB-FLUPC8,FLUPYRADIFURONE,9.385418506043878,6.318238959295047,2.4759659899005753,23.90944765161542,3.2501909878960107,2.696825332513913,1.2811380949094915,6.632295805291129
BifenthrinANDLB-BIF2,BIFENTHRIN,41.92567864253754,19.735583187660886,1.6760432618799195,249.56558244275126,2.6389344336338816,2.5320049885440064,1.1584742255318843,4.274076864726709
BifenthrinANDLB-BiF7,BIFENTHRIN,38.40726716563166,19.13964116784454,1.8842114400790981,206.8595218389095,1.5380875447474318,1.3305689785428085,0.7855631881653279,2.384610719512137
BifenthrinANDLB-BIF6,BIFENTHRIN,42.40799206553256,16.898079039753128,4.118359644912595,222.5393928979635,2.9267457152161334,3.073134336060023,1.3035425105644618,3.8991076716799027
BifenthrinANDLB-BIF9,BIFENTHRIN,43.588500575102074,20.17167769357638,2.125753971208288,258.72474964051617,2.978014240695728,2.8732775215209982,1.3395563970521376,4.9875946933773
LambdaCyhalothrinANDLB-LCY4,LAMBDACYHALOTHRIN,19.198949899465767,18.097674125554143,2.10678841270933,53.31158305329691,1.6330402416032836,1.1467239219147831,0.5572140513923646,3.7201110927469214
LAMBDACYHALOTHRINANDLB-LCY1,LAMBDACYHALOTHRIN,17.065703903534434,13.36234535485317,1.5191739418930639,71.73967446375852,2.999814408934046,2.468118604045859,1.1138822148533478,5.270810030381001
MALATHIONANDLB-MAL8,MALATHION,27.988121159058483,10.5875607197512,2.2425122707442813,153.27442067037393,2.4115901778649405,2.3159600384184245,0.684076318382137,4.527243844894991
MALATHIONANDLB-MAL1,MALATHION,26.543576002096234,10.381691216920265,1.6329251032430039,135.77090402537522,1.9778818194068717,1.7909267954641328,0.9604727104459727,3.189997652096348
MALATHIONANDLB-MAL5,MALATHION,27.85132685599937,11.462366748674304,1.9965278857981905,159.8181510844013,2.7009075423966835,2.912772955411981,0.9747479189870295,4.4577507731788035
MALATHIONANDLB-MAL4,MALATHION,28.9208021835848,14.823392997083364,1.7764703221845315,119.86868263348767,1.6854896557410188,1.5400166170837468,0.6513157185493849,3.3530166098111107
LAMBDACYHALOTHRINANDLB-LCY01,LAMBDACYHALOTHRIN,22.744618534858134,15.537284368709916,4.143707420433339,66.99471542576391,1.5412964656267762,1.4397179436414802,0.6188108716193776,3.2384646616918915
LAMBDACYHALOTHRINANDLB-LCY2,LAMBDACYHALOTHRIN,41.41295237174398,16.13020872041547,0.8322610304751277,215.93546390229793,1.988378652974202,1.7261567371068591,0.9470028073889444,4.077354111075224
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,5.427067932476419,2.1908823576410015,0.03677183126463711,16.776818221316617,2.319886741208868,1.8926533009170405,0.8572561159276836,4.707615952402533
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,6.188300031001363,4.516413481269415,0.05714339895581895,16.603697360758378,2.178582526650549,1.9228355108182644,1.1126152014562194,5.326785298678986
IMIDACLOPRIDANDLB-IMID5,IMIDACLOPRID,3.6772830587301475,1.3652186333584542,0.039475118703523306,12.950674441672634,2.232669829355836,1.0029969898640048,0.396599056069539,6.617075614756619
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,4.376192701187914,1.5792741403697705,0.04090773457752584,14.276384797990643,3.3730353324663542,2.7193682200165825,1.7905654978347185,5.765530846672808
LAMBDACYHALOTHRINANDLB-LCY3,LAMBDACYHALOTHRIN,21.024775888000317,14.223331703999634,1.8282985230920974,66.64639523344171,1.2569805062094115,1.2915415763762534,0.5654135179072535,1.8828524338354857
PERMETHRINANDLB-PERM4,PERMETHRIN,20.47353803439784,14.967350705432736,0.8447466678666066,59.48478678603359,2.3918037217081025,1.9592038204944835,1.0046264063348591,5.041095442807646
PERMETHRINANDLB-CYPERM2,PERMETHRIN,28.376045319166362,20.882115618912124,0.40892248689316535,93.45683645566396,2.0654154106891647,1.716435288059131,0.7149834969216051,4.4175209052617515
PERMETHRINANDLB-PERM7,PERMETHRIN,32.09361363059375,19.427294373933076,0.41683353174320464,139.65207354854348,1.7089287718148567,1.4311491479438623,0.7804883068591123,3.963549119021602
