strain,A_mean,A_ci_low,A_ci_high,mu_mean,mu_ci_low,mu_ci_high,mu_ci_width,lam_mean,lam_ci_low,lam_ci_high,r2_mean,r2_ci_low,r2_ci_high,p_good,n_successful
FlupyradifuroneANDLB-FLUPC8,1.4253934405342479,1.3902080079843109,1.4588221901126364,0.7984876057304545,0.6660698213737264,0.9648705460399639,0.2988007246662375,3.444793445924846,3.2606446321223035,3.638055494929447,0.9826538468225298,0.9770541007473783,0.9877881526924337,1.0,1000
BifenthrinANDLB-BIF2,1.6171628846989878,1.5982255867922301,1.6371523320608365,0.16797750521195798,0.1600109958256155,0.17607803292136082,0.016067037095745307,0.42314298995266825,0.18565964318077666,0.6546302462007272,0.98925399100231,0.984639013444982,0.9931094658096463,1.0,1000
BifenthrinANDLB-BiF7,1.5823344268232353,1.5435720177049252,1.6277069389009349,0.20191049683302345,0.1869858645068692,0.2169380811806045,0.02995221667373532,0.5808182387664835,0.2960593928969124,0.8533948549151673,0.9845256505134851,0.979666548236939,0.9892795313862619,1.0,1000
BifenthrinANDLB-BIF6,1.6118874854648204,1.5871828302955704,1.6369473467729931,0.15644984591532432,0.14977736829083968,0.1652498555479992,0.015472487257159523,0.14264397729547584,2.081056010989972e-19,0.4206303305661764,0.9873733877271602,0.9823838859893887,0.9917804680785086,1.0,1000
BifenthrinANDLB-BIF9,1.6222280629527779,1.6038589915271075,1.643165655256352,0.166760880719801,0.1588406764964362,0.17476745277432928,0.015926776277893073,0.3358621775366803,0.09946955257188493,0.5650149385304659,0.9891960252362251,0.9844474441936547,0.9931610915019194,1.0,1000
LambdaCyhalothrinANDLB-LCY4,1.255229665704887,1.2336377215695276,1.2756483033865278,0.1331375064041278,0.128565155068375,0.13801558112526277,0.009450426056887784,3.038100932657413,2.8825276375249467,3.202569411829865,0.9967440829239479,0.995708450636618,0.9977615335516629,1.0,1000
LB-BIF2,1.6171628846989878,1.5982255867922301,1.6371523320608365,0.16797750521195798,0.1600109958256155,0.17607803292136082,0.016067037095745307,0.42314298995266825,0.18565964318077666,0.6546302462007272,0.98925399100231,0.984639013444982,0.9931094658096463,1.0,1000
LB-BiF7,1.5823344268232353,1.5435720177049252,1.6277069389009349,0.20191049683302345,0.1869858645068692,0.2169380811806045,0.02995221667373532,0.5808182387664835,0.2960593928969124,0.8533948549151673,0.9845256505134851,0.979666548236939,0.9892795313862619,1.0,1000
LB-LCY4,1.255229665704887,1.2336377215695276,1.2756483033865278,0.1331375064041278,0.128565155068375,0.13801558112526277,0.009450426056887784,3.038100932657413,2.8825276375249467,3.202569411829865,0.9967440829239479,0.995708450636618,0.9977615335516629,1.0,1000
LB-BIF6,1.6118874854648204,1.5871828302955704,1.6369473467729931,0.15644984591532432,0.14977736829083968,0.1652498555479992,0.015472487257159523,0.14264397729547584,2.081056010989972e-19,0.4206303305661764,0.9873733877271602,0.9823838859893887,0.9917804680785086,1.0,1000
