strain,consensus_idx,consensus_time,consensus_confidence,n_methods_succeeded,disagreement_hours,flagged_for_review,consensus_method,first_peak_idx,first_peak_time,first_peak_confidence,stationary_phase_idx,stationary_phase_time,stationary_phase_confidence,adaptive_r2_idx,adaptive_r2_time,adaptive_r2_confidence,gp_derivative_idx,gp_derivative_time,gp_derivative_confidence
FlupyradifuroneANDLB-FLUPC8,51,12.74955638888889,0.8105256194919036,4,8.999756111111108,True,weighted_median,51,12.74955638888889,0.9998240288592674,56,13.999524166666664,0.8854166666666666,39,9.749640833333334,0.0,20,4.999768055555556,0.9893503594163658
BifenthrinANDLB-BIF2,93,23.249269166666668,0.9394735062117266,4,4.249885277777775,True,weighted_median,95,23.749256666666664,0.5,78,19.49937138888889,0.8125,91,22.749285277777776,0.0,93,23.249269166666668,0.9979116574863625
BifenthrinANDLB-BiF7,71,17.749419444444445,0.8736837044162926,4,7.499796666666665,True,weighted_median,61,15.249488611111111,0.9888146777178721,71,17.749419444444445,0.84375,91,22.749285277777776,0.0,77,19.249378055555557,0.9985714692279932
BifenthrinANDLB-BIF9,92,22.999275555555556,0.942105094423774,4,4.74987305555555,True,weighted_median,95,23.749256666666664,0.5,76,18.999383611111114,0.8229166666666666,91,22.749285277777776,0.0,92,22.999275555555556,0.9984519591107389
LambdaCyhalothrinANDLB-LCY4,88,21.99930305555555,0.728946262107572,4,14.499605833333332,True,weighted_median,73,18.249405277777775,0.9869839600315538,91,22.749285277777776,0.7708333333333334,33,8.249679444444444,0.0,88,21.99930305555555,0.9978978693583801
LB-BIF2,93,23.249269166666668,0.9394735062117266,4,4.249885277777775,True,weighted_median,95,23.749256666666664,0.5,78,19.49937138888889,0.8125,91,22.749285277777776,0.0,93,23.249269166666668,0.997911657229194
LB-BiF7,71,17.749419444444445,0.8736837044162926,4,7.499796666666665,True,weighted_median,61,15.249488611111111,0.9888146777178721,71,17.749419444444445,0.84375,91,22.749285277777776,0.0,77,19.249378055555557,0.9985714692279932
LB-LCY4,88,21.99930305555555,0.728946262107572,4,14.499605833333332,True,weighted_median,73,18.249405277777775,0.9869839600315538,91,22.749285277777776,0.7708333333333334,33,8.249679444444444,0.0,88,21.99930305555555,0.9978978703105377
LB-BIF9,92,22.999275555555556,0.942105094423774,4,4.74987305555555,True,weighted_median,95,23.749256666666664,0.5,76,18.999383611111114,0.8229166666666666,91,22.749285277777776,0.0,92,22.999275555555556,0.9984519603066101
LB-FLUPC8,51,12.74955638888889,0.8105256194919036,4,8.999756111111108,True,weighted_median,51,12.74955638888889,0.9998240288592674,56,13.999524166666664,0.8854166666666666,39,9.749640833333334,0.0,20,4.999768055555556,0.9893503590745376
LAMBDACYHALOTHRINANDLB-LCY1,95,23.74932111111111,0.9191728839315569,4,20.249451944444445,True,weighted_median,79,19.74942805555556,0.9900690750998613,95,23.74932111111111,0.9525,49,12.24963361111111,0.0,130,32.49908555555555,0.9946130834566957
MALATHIONANDLB-MAL1,60,14.999558333333336,0.7706766408854869,4,86.99763194444444,True,weighted_median,399,99.74725277777776,0.5,60,14.999558333333336,0.975,54,13.499602222222222,0.02941176470588236,51,12.749620833333331,0.9903202716683375
MALATHIONANDLB-MAL4,52,12.99961361111111,0.9812030119682216,4,7.499791666666668,True,weighted_median,52,12.99961361111111,0.9982708595879365,61,15.24955138888889,0.9725,31,7.749759722222222,0.052631578947368474,52,12.99961361111111,0.9887530544765951
LB-MAL10,60,14.999558333333336,0.7706766408854869,4,86.99763194444444,True,weighted_median,399,99.74725277777776,0.5,60,14.999558333333336,0.975,54,13.499602222222222,0.02941176470588236,51,12.749620833333331,0.9903202723314117
LB-MAL1,60,14.999558333333336,0.7706766408854869,4,86.99763194444444,True,weighted_median,399,99.74725277777776,0.5,60,14.999558333333336,0.975,54,13.499602222222222,0.02941176470588236,51,12.749620833333331,0.9903202721905913
LB-MAL4,52,12.99961361111111,0.9812030119682216,4,7.499791666666668,True,weighted_median,52,12.99961361111111,0.9982708595879365,61,15.24955138888889,0.9725,31,7.749759722222222,0.052631578947368474,52,12.99961361111111,0.9887530550986995
LB-LCY1,95,23.74932111111111,0.9191728839315569,4,20.249451944444445,True,weighted_median,79,19.74942805555556,0.9900690750998613,95,23.74932111111111,0.9525,49,12.24963361111111,0.0,130,32.49908555555555,0.994613082528255
IMIDACLOPRID-IMID2,206,51.49856305555555,0.6867167044152711,4,36.499003611111114,True,weighted_median,88,21.999368333333333,0.9610020661157024,211,52.74852888888889,0.945,65,16.249525277777778,0.0,206,51.49856305555555,0.9939019123413634
LAMBDACYHALOTHRINANDLB-LCY01,92,22.999340277777776,0.941729298789323,4,11.249693611111113,True,weighted_median,77,19.249443333333332,0.9915995417931882,92,22.999340277777776,0.9575,108,26.99923194444445,0.0,122,30.499136944444444,0.9985850115174904
LAMBDACYHALOTHRINANDLB-LCY2,171,42.748805,0.8164159884921584,4,24.49933222222222,True,weighted_median,79,19.74942861111111,0.9795037430572325,177,44.24876083333333,0.9975,106,26.49924888888889,0.0,171,42.748805,0.9865455750945198
LB-IMID2,72,17.999475555555556,0.9530075219534667,4,7.499793333333331,True,weighted_median,57,14.249579444444445,0.9878409318247496,72,17.999475555555556,0.95,42,10.499682222222225,0.0,72,17.999475555555556,0.9992302760238637
LB-IMID3,281,70.24805277777777,0.4429822719394013,4,80.49780694444445,True,weighted_median,92,22.999340277777776,0.9908944190958179,281,70.24805277777777,0.8275,57,14.249579444444445,0.0,379,94.7473863888889,0.9983874296117959
LB-IMID8,185,46.24870555555555,0.6691728454989947,4,41.998853611111116,True,weighted_median,55,13.749595833333332,0.9839588377723966,185,46.24870555555555,0.9175,65,16.249525277777778,0.0,223,55.74844944444445,0.9991699934096054
LB-LCY01,92,22.999340277777776,0.941729298789323,4,11.249693611111113,True,weighted_median,77,19.249443333333332,0.9915995417931882,92,22.999340277777776,0.9575,108,26.99923194444445,0.0,122,30.499136944444444,0.9985850125382889
IMIDACLOPRIDANDLB-IMID2,95,23.749322222222226,0.9818295685274774,4,7.249802222222222,True,weighted_median,69,17.24949777777778,0.9908731485670448,95,23.749322222222226,0.94,98,24.4993,0.0,95,23.749322222222226,0.9989497931047837
IMIDACLOPRIDANDLB-IMID3,297,74.24794388888888,0.5657893665054206,4,68.24814083333334,True,weighted_median,123,30.749132222222222,0.9881898549480735,297,74.24794388888888,0.7925,157,39.2489025,0.0,396,98.99727305555555,0.9990445158919806
IMIDACLOPRIDANDLB-IMID5,224,55.99843944444445,0.6215537677442549,4,83.4977266666667,True,weighted_median,134,33.49905416666667,0.9961488350705098,224,55.99843944444445,0.8775,61,15.2495525,0.0,395,98.74727916666669,0.9980645146773347
