strain,truncation_idx,truncation_time,confidence,lag_end,exp_peak,stat_start,death_start
FlupyradifuroneANDLB-FLUPC8,20,4.999768055555556,0.9893503564152989,0.2141716533066132,4.307229916499666,5.068729128256512,5.1639165297261185
BifenthrinANDLB-BIF2,93,23.249269166666668,0.9979116574337829,0.30935905477621906,2.498669288577154,23.344710210420843,23.63027241482966
BifenthrinANDLB-BiF7,77,19.249378055555557,0.9985714696443905,0.40454645624582497,2.498669288577154,19.299245647962593,23.582678714094854
BifenthrinANDLB-BIF6,92,22.999275555555556,0.9984362637338184,0.023796850367401468,2.451075587842351,23.059148006012023,
BifenthrinANDLB-BIF9,92,22.999275555555556,0.9984519596091321,0.356952755511022,2.5462629893119573,22.963960604542415,23.725459816299264
LambdaCyhalothrinANDLB-LCY4,88,21.99930305555555,0.9978978689958076,0.40454645624582497,4.259636215764862,22.01208658984636,22.773585801603204
LB-BIF2,93,23.249269166666668,0.9979116574870692,0.30935905477621906,2.498669288577154,23.344710210420843,23.63027241482966
LB-BiF7,77,19.249378055555557,0.9985714692279932,0.40454645624582497,2.498669288577154,19.299245647962593,23.582678714094854
LB-LCY4,88,21.99930305555555,0.9978978694724893,0.40454645624582497,4.259636215764862,22.01208658984636,22.773585801603204
LB-BIF6,92,22.999275555555556,0.9984362637165501,0.023796850367401468,2.451075587842351,23.059148006012023,
LB-BIF9,92,22.999275555555556,0.9984519591541341,0.356952755511022,2.5462629893119573,22.963960604542415,23.725459816299264
LB-FLUPC8,20,4.999768055555556,0.9893503581582047,0.2141716533066132,4.307229916499666,5.068729128256512,5.1639165297261185
Bifenthrin-BIF6,92,22.999275555555556,0.9984362640959024,0.023796850367401468,2.451075587842351,23.059148006012023,
LAMBDACYHALOTHRIN-LCY1,312,77.99784861111111,0.9731514815080401,70.66263297984858,76.85935609830773,78.05872186317077,78.45851045145847
LAMBDACYHALOTHRINANDLB-LCY1,130,32.49908555555555,0.9946130810741796,1.499207206078824,6.696458853818747,32.48282279837452,34.6816600339568
MALATHIONANDLB-MAL8,43,10.749675833333333,0.99171595129479,0.6996300295034512,4.097833029948786,10.694344736695612,11.094133324983298
MALATHIONANDLB-MAL10,51,12.749620833333331,0.9903202716683375,0.09994714707192161,5.497093088955689,12.693287678134045,13.09307626642173
MALATHIONANDLB-MAL1,51,12.749620833333331,0.9903202709433089,0.09994714707192161,5.497093088955689,12.693287678134045,13.09307626642173
MALATHIONANDLB-MAL5,45,11.24966472222222,0.9913732433434351,0.6996300295034512,5.0973045006680024,11.294027619127142,11.693816207414828
MALATHIONANDLB-MAL4,52,12.99961361111111,0.9887530553715408,0.8995243236472945,6.296670265531061,12.893181972277887,13.492864854709417
LB-MAL8,43,10.749675833333333,0.9917159499862935,0.6996300295034512,4.097833029948786,10.694344736695612,11.094133324983298
LB-MAL10,51,12.749620833333331,0.9903202716683375,0.09994714707192161,5.497093088955689,12.693287678134045,13.09307626642173
LB-MAL1,51,12.749620833333331,0.9903202719172639,0.09994714707192161,5.497093088955689,12.693287678134045,13.09307626642173
LB-MAL5,45,11.24966472222222,0.9913732439834867,0.6996300295034512,5.0973045006680024,11.294027619127142,11.693816207414828
LB-MAL4,52,12.99961361111111,0.9887530530435105,0.8995243236472945,6.296670265531061,12.893181972277887,13.492864854709417
LB-LCY1,130,32.49908555555555,0.9946130822714561,1.499207206078824,6.696458853818747,32.48282279837452,34.6816600339568
H2O-MAL8,209,52.24854194444444,0.9883747070746353,1.8989957943665106,6.896353147962591,52.272357918615,54.27130086005343
H2O-MAL10,399,99.74725277777776,0.9107708043470021,5.497093088955689,98.64783415998662,,
H2O-MAL1,399,99.74725277777776,0.9107707971923453,5.497093088955689,98.64783415998662,,
IMIDACLOPRID-IMID2,206,51.49856305555555,0.9939019101961197,0.0999471434535738,10.894238636439546,51.47277887859051,73.06136186456246
IMIDACLOPRID-IMID8,105,26.249255555555557,0.9899875099976164,1.6991014387107546,6.496564324482297,26.28609872828991,27.28557016282565
LAMBDACYHALOTHRINANDLB-LCY01,122,30.499136944444444,0.9985850111301897,0.0999471434535738,7.296141472110888,30.48387875334001,32.68271590931863
LAMBDACYHALOTHRINANDLB-LCY2,171,42.748805,0.9865455758554341,0.6996300041750166,8.095718619739479,42.67743025467601,47.874681714261854
LB-IMID2,72,17.999475555555556,0.9992302760238637,0.0999471434535738,3.8979385946893785,18.09043296509686,22.28821299014696
LB-IMID3,379,94.7473863888889,0.99838742854246,0.0999471434535738,6.0967757506680025,94.6499448505344,
LB-IMID5,283,70.74803805555555,0.9945474297323101,0.8995242910821643,6.0967757506680025,70.86252470858383,71.66210185621242
LB-IMID8,223,55.74844944444445,0.9991699934275224,0.0999471434535738,4.097832881596526,55.87045319054776,99.24751344939878
LB-LCY01,122,30.499136944444444,0.9985850119165124,0.0999471434535738,7.296141472110888,30.48387875334001,32.68271590931863
LB-LCY2,171,42.748805,0.9865455754950284,0.6996300041750166,8.095718619739479,42.67743025467601,47.874681714261854
IMIDACLOPRIDANDLB-IMID2,95,23.749322222222226,0.9989497936632347,0.0999471434535738,3.698044307782231,23.687472998496993,28.484935884268534
IMIDACLOPRIDANDLB-IMID3,396,98.99727305555555,0.9990445158919806,0.0999471434535738,6.896352898296593,99.04761916249164,99.64730202321309
IMIDACLOPRIDANDLB-IMID5,395,98.74727916666669,0.9980645147464187,0.0999471434535738,5.497092889946559,98.84772487558449,99.64730202321309
IMIDACLOPRIDANDLB-IMID8,395,98.74727916666669,0.9991293240296242,0.0999471434535738,7.296141472110888,98.64783058867735,99.64730202321309
H2O-IMID2,291,72.74798805555555,0.9937120953514894,1.4992071518036072,6.0967757506680025,72.66157329074815,74.06083329909819
H2O-IMID5,220,54.998467777777776,0.9672623422630943,1.8989957256179024,6.496564324482297,55.07087604291917,56.270241764362055
PERMETHRIN-PERM4,381,95.2474111111111,0.9879742120083286,2.57683376753507,18.80134267423736,,
PERMETHRIN-PERM7,199,49.748629722222226,0.9906511032885655,2.0042040414161657,20.13747870184814,49.7233478846582,50.486854186150076
LAMBDACYHALOTHRIN-LCY3,381,95.2474111111111,0.9586124590477568,5.439982398129592,89.23479898686261,,
LAMBDACYHALOTHRINANDLB-LCY3,284,70.99805916666666,0.9985141990979489,2.1950806167891335,7.921377877978179,71.10152432643065,71.48327747717659
PERMETHRINANDLB-PERM4,107,26.74925027777778,0.9980271800011087,0.2863148630594522,4.294722945891784,26.627282264529057,
PERMETHRINANDLB-CYPERM2,341,85.24767694444444,0.994491825714458,6.585241850367401,68.62012884658205,85.22639090403027,85.41726747940325
PERMETHRINANDLB-PERM7,111,27.749223055555554,0.9986553375160686,0.2863148630594522,2.9585869182810063,27.772541716766867,94.38846652193274
PERMETHRINANDLB-CISPERM1,381,95.2474111111111,0.9942124634279599,1.431574315297261,78.92746391672233,,
LB-PERM4,107,26.74925027777778,0.9980271786060254,0.2863148630594522,4.294722945891784,26.627282264529057,
LB-CYPERM2,341,85.24767694444444,0.9944918270569216,6.585241850367401,68.62012884658205,85.22639090403027,85.41726747940325
LB-PERM7,111,27.749223055555554,0.9986553375113383,0.2863148630594522,2.9585869182810063,27.772541716766867,94.38846652193274
LB-LCY3,284,70.99805916666666,0.998514200479386,2.1950806167891335,7.921377877978179,71.10152432643065,71.48327747717659
DIAZINONANDG-DIAZ26,65,32.499093333333334,0.9971587391433938,0.7139081329325319,18.989956336005346,32.41142923513695,32.69699248830996
DIAZINONANDG-DIAZ28,33,16.49952222222222,0.9799578070271102,1.760973394566912,13.849817778891119,16.705450310621245,16.895825812736586
DIAZINONANDG-DIAZ8,27,13.499602777777778,0.9857581422808913,2.3320999009129375,9.85193223446894,13.469066774660433,13.754630027833446
MALATHIONANDG-MAL1,95,47.49868777777778,0.9939647949012798,1.2850346392785572,18.704393082832333,,
MALATHIONANDG-MAL10,35,17.499493055555558,0.9896534025655096,10.137495487641953,14.896883040525498,17.371764568024943,17.562140070140284
MALATHIONANDG-MAL2,20,9.999696944444445,0.9934517057552924,2.141724398797596,6.710736449565799,8.709679221776888,8.80486697283456
MALATHIONANDG-MAL4,66,32.99907611111111,0.9958339189513752,24.701221399465602,29.65098445446449,32.887367990425304,33.26811899465598
MALATHIONANDG-MAL5,95,47.49868777777778,0.9929552865670555,24.130094893119576,29.079857948118462,,
MALATHIONANDG-MAL6,40,19.99942666666667,0.9885110234409094,8.709679221776888,16.13432380427522,19.751458344466712,19.941833846582057
MALATHIONANDG-MAL8,36,17.999480833333333,0.9960627571384153,10.518246491872635,14.801695289467826,18.133266576486307,18.32364207860165
DIAZINONANDLB-DIAZ28,58,28.99918694444445,0.9980718317156373,0.14278162658650637,1.8561611456245828,28.79429469494545,30.6028619650412
DIAZINONANDLB-DIAZ8,20,9.999696944444445,0.9949384030607545,0.047593875528835455,1.57059789245157,4.997356930527722,5.187732432643065
IMIDACLOPRIDANDLB-IMID3,95,47.498685,0.9933358695094081,1.1898468186372746,29.46060722945892,,
IMIDACLOPRID-IMID6,123,61.5,0.9798385050956567,2.2009018036072145,12.918336673346694,61.52955911823647,62.67785571142284
IMIDACLOPRIDANDLB-IMID2,53,26.5,0.9842094571976466,2.5836673346693386,10.430360721442884,26.697895791583164,27.27204408817635
IMIDACLOPRIDANDLB-IMID5,144,72.0,0.9866817895478215,0.09569138276553106,44.30511022044088,72.0556112224449,72.82114228456913
IMIDACLOPRIDANDLB-IMID6,63,31.5,0.9815266019646878,1.626753507014028,8.325150300601202,31.291082164328657,31.673847695390783
IMIDACLOPRIDANDLB-IMID8,191,95.5,0.9987143321437499,0.28707414829659317,11.578657314629258,,
