strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct,original_reason,delta_od
LambdaCyhalothrin-LCY4,Group1,first_peak,9,2.249842777777778,10,True,-18.1060164481684,0.037640249638568664,0.14684884169597714,1.9470602227904736,1.0042888536085384e-32,10.8318157586229,10826.241308280358,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.0916333333333332
LambdaCyhalothrin-LCY4,Group1,stationary_phase,77,19.249378055555557,78,True,-0.08809592128424559,0.03398027540490723,0.1898655429643659,0.5769630045190792,9.46667545077122e-37,2.1036316928262697,56.887426353503166,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.0916333333333332
LambdaCyhalothrin-LCY4,Group1,adaptive_r2,91,22.749285277777776,92,True,-0.06084553515314273,0.033369949859926654,0.1949455576957083,0.532029736320803,1.3064703551908306e-42,1.8445722456848759,54.65749622059067,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.0916333333333332
LambdaCyhalothrin-LCY4,Group1,gp_derivative,67,16.749445833333333,68,True,-0.13908984072710795,0.03246509748886758,0.18370474709135584,0.6245495655565984,5.790664753787458e-34,2.2337597073443263,55.79054333142606,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.0916333333333332
LambdaCyhalothrin-LCY4,Group1,changepoint,45,11.24959777777778,46,True,-0.8546908111818916,0.02362556764628736,0.16531765087196373,0.7895009203848874,1.0304872642501908e-29,2.2326898817397987,54.112842266507165,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.0916333333333332
LambdaCyhalothrin-LCY4,Group1,consensus,67,16.749445833333333,68,True,-0.13908984072710795,0.03246509748886758,0.18370474709135584,0.6245495655565984,5.790664753787458e-34,2.2337597073443263,55.79054333142606,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.0916333333333332
Flupyradifurone-FLUPC8,Group1,first_peak,51,12.74955638888889,52,True,0.9796219346938827,0.08613158471382625,1.4088237132213988,0.7947820218687242,3.4705762554100166,1.2585603906529252,10.065087432026798,BAD: Low R²: 0.467 < 0.95,0.0204866666666666
Flupyradifurone-FLUPC8,Group1,stationary_phase,56,13.999524166666664,57,True,0.9789366344524303,0.08712046058891744,1.4317135792637237,0.7165868520361226,3.3850702397641683,1.165250742636416,9.404428133903751,BAD: Low R²: 0.467 < 0.95,0.0204866666666666
Flupyradifurone-FLUPC8,Group1,adaptive_r2,56,13.999524166666664,57,True,0.9789366344524303,0.08712046058891744,1.4317135792637237,0.7165868520361226,3.3850702397641683,1.165250742636416,9.404428133903751,BAD: Low R²: 0.467 < 0.95,0.0204866666666666
Flupyradifurone-FLUPC8,Group1,gp_derivative,20,4.999768055555556,21,True,0.9518350995143744,0.0788362285029681,1.594820248983499,1.0449434421949635,3.6716802770026002,22.6870855148201,14.43179980256675,BAD: Low R²: 0.467 < 0.95,0.0204866666666666
Flupyradifurone-FLUPC8,Group1,changepoint,35,8.749665833333333,36,True,0.986201638763212,0.06777498925080387,1.293876587509715,1.2372141410084923,3.74714210888964,1.5120255975700216,11.431534398950784,BAD: Low R²: 0.467 < 0.95,0.0204866666666666
Flupyradifurone-FLUPC8,Group1,consensus,51,12.74955638888889,52,True,0.9796219346938827,0.08613158471382625,1.4088237132213988,0.7947820218687242,3.4705762554100166,1.2585603906529252,10.065087432026798,BAD: Low R²: 0.467 < 0.95,0.0204866666666666
Bifenthrin-BIF6,Group1,first_peak,72,17.999411388888888,73,True,0.9859863982369483,0.05765792740673591,1.5760867852346752,0.16204933964272705,0.2103853752224918,1.1654030889057074,3.276160518257054,BAD: Low R²: 0.908 < 0.95,0.0492333333333333
Bifenthrin-BIF6,Group1,stationary_phase,87,21.74930888888889,88,True,0.9873549073113301,0.05528394244570787,1.6170339878352924,0.1558684168199078,0.09309609000548782,0.8204710246258474,2.819451091160767,BAD: Low R²: 0.908 < 0.95,0.0492333333333333
Bifenthrin-BIF6,Group1,adaptive_r2,87,21.74930888888889,88,True,0.9873549073113301,0.05528394244570787,1.6170339878352924,0.1558684168199078,0.09309609000548782,0.8204710246258474,2.819451091160767,BAD: Low R²: 0.908 < 0.95,0.0492333333333333
Bifenthrin-BIF6,Group1,gp_derivative,78,19.49937138888889,79,True,0.9865765998534427,0.05681503238745833,1.596218290533075,0.15910550285213074,0.15697762709560684,1.0061531011156093,3.0744607156092347,BAD: Low R²: 0.908 < 0.95,0.0492333333333333
Bifenthrin-BIF6,Group1,changepoint,40,9.999631944444443,41,True,0.9846831867459728,0.05101792473674096,1.2608955772564443,0.2059943765728491,0.7010872680033037,2.4126484401099724,4.839965776180109,BAD: Low R²: 0.908 < 0.95,0.0492333333333333
Bifenthrin-BIF6,Group1,consensus,78,19.49937138888889,79,True,0.9865765998534427,0.05681503238745833,1.596218290533075,0.15910550285213074,0.15697762709560684,1.0061531011156093,3.0744607156092347,BAD: Low R²: 0.908 < 0.95,0.0492333333333333
MALATHION-MAL8,Group2,first_peak,44,10.999669166666669,45,True,0.9987327233081452,0.021246502230480573,1.666545914486046,0.3231580924025391,1.81028830288465,0.5771325411586534,1.518515433752502,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999
