strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct
FlupyradifuroneANDLB-FLUPC8,Group1,first_peak,51.0,12.74955638888889,52.0,True,0.9796219346939087,0.08613158471377132,1.4088237126763992,0.7947820293944562,3.4705762635206048,1.2585603899723792,10.065087498597766
FlupyradifuroneANDLB-FLUPC8,Group1,stationary_phase,56.0,13.999524166666664,57.0,True,0.978936634452436,0.08712046058890581,1.4317135794502323,0.7165868536333342,3.385070243142956,1.1652507402388543,9.404428026300856
FlupyradifuroneANDLB-FLUPC8,Group1,adaptive_r2,39.0,9.749640833333334,40.0,True,0.9850701270785254,0.07205186288409443,1.3243941421946666,1.117949570793807,3.695084294682222,1.4004433310932536,11.067738397628462
FlupyradifuroneANDLB-FLUPC8,Group1,gp_derivative,20.0,4.999768055555556,21.0,True,0.9518350995143267,0.07883622850300716,1.594820247033494,1.04494344808016,3.671680280863691,22.687084560370423,14.431799845711831
FlupyradifuroneANDLB-FLUPC8,Group1,changepoint,,,,False,,,,,,,
FlupyradifuroneANDLB-FLUPC8,Group1,consensus,51.0,12.74955638888889,52.0,True,0.9796219346939087,0.08613158471377132,1.4088237126763992,0.7947820293944562,3.4705762635206048,1.2585603899723792,10.065087498597766
BifenthrinANDLB-BIF2,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9892559910564407,0.05174966110387276,1.621240713119485,0.16803374097691925,0.39942474187208954,0.6211047954946264,2.5501404957549383
BifenthrinANDLB-BIF2,Group1,stationary_phase,78.0,19.49937138888889,79.0,True,0.9875706124251894,0.05650083687887887,1.6080471635964069,0.17031854303947971,0.4381482717219806,0.9337944140793015,3.0190442657976195
BifenthrinANDLB-BIF2,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9889523723035908,0.052737990740226046,1.6186464154612692,0.1685138468764042,0.4078674041431305,0.6751563016414436,2.6402858175061104
BifenthrinANDLB-BIF2,Group1,gp_derivative,93.0,23.249269166666668,94.0,True,0.9891078675610157,0.05224121366376975,1.6200368238767708,0.16825839017020233,0.403394550094245,0.647149684286086,2.5941301218017045
BifenthrinANDLB-BIF2,Group1,changepoint,,,,False,,,,,,,
BifenthrinANDLB-BIF2,Group1,consensus,93.0,23.249269166666668,94.0,True,0.9891078675610157,0.05224121366376975,1.6200368238767708,0.16825839017020233,0.403394550094245,0.647149684286086,2.5941301218017045
BifenthrinANDLB-BiF7,Group1,first_peak,61.0,15.249488611111111,62.0,True,0.9843641233366439,0.06418738432959142,1.588591560521659,0.20108545280149848,0.5385934830739084,1.3674571856701794,3.899789483409048
BifenthrinANDLB-BiF7,Group1,stationary_phase,71.0,17.749419444444445,72.0,True,0.9860455509978169,0.06090479192904617,1.6151452912130655,0.196150283741628,0.48115764418156515,1.0015195316504228,3.4057110736537695
BifenthrinANDLB-BiF7,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9880747246684994,0.054975902424517394,1.636783910968489,0.19152878259145378,0.42038381681744424,0.6224290689294084,2.7846497534748447
BifenthrinANDLB-BiF7,Group1,gp_derivative,77.0,19.249378055555557,78.0,True,0.986816451830159,0.05895766358015343,1.6239723846176688,0.1943569975831866,0.45847176055818223,0.8508268688487628,3.1778805504403222
BifenthrinANDLB-BiF7,Group1,changepoint,,,,False,,,,,,,
BifenthrinANDLB-BiF7,Group1,consensus,71.0,17.749419444444445,72.0,True,0.9860455509978169,0.06090479192904617,1.6151452912130655,0.196150283741628,0.48115764418156515,1.0015195316504228,3.4057110736537695
BifenthrinANDLB-BIF6,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9879183391796452,0.053869637635261786,1.6298124170612045,0.15374334494973155,0.04790504638561354,0.6978659480918467,2.634278092273955
BifenthrinANDLB-BIF6,Group1,stationary_phase,87.0,21.74930888888889,88.0,True,0.9873549073113296,0.05528394244570898,1.6170339880219948,0.15586841667009016,0.09309608434785543,0.8204710244212009,2.8194511247494707
BifenthrinANDLB-BIF6,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9876470420255155,0.05458614707683668,1.6240010769663626,0.15472517603826957,0.06912055147238177,0.7551667259752117,2.722915181777131
BifenthrinANDLB-BIF6,Group1,gp_derivative,92.0,22.999275555555556,93.0,True,0.9877164048830186,0.05440936359481591,1.625560151945049,0.1544645376749651,0.06354667697544489,0.7401573652131227,2.7000842291018343
BifenthrinANDLB-BIF6,Group1,changepoint,,,,False,,,,,,,
BifenthrinANDLB-BIF6,Group1,consensus,92.0,22.999275555555556,93.0,True,0.9877164048830186,0.05440936359481591,1.625560151945049,0.1544645376749651,0.06354667697544489,0.7401573652131227,2.7000842291018343
BifenthrinANDLB-BIF9,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9891961572165936,0.051629125075405624,1.6260780114585782,0.16685221407598655,0.3141993244396556,0.6212204762046085,2.5392137988466428
BifenthrinANDLB-BIF9,Group1,stationary_phase,76.0,18.999383611111114,77.0,True,0.9871655193545725,0.05714689140928122,1.6123984605270092,0.16915132456201834,0.353878738930835,0.9959495070573736,3.0845748878463546
BifenthrinANDLB-BIF9,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9888840926308917,0.05263036667004758,1.6236420577318396,0.1672953333403476,0.32216888466962973,0.6757988856937966,2.629793539134736
BifenthrinANDLB-BIF9,Group1,gp_derivative,92.0,22.999275555555556,93.0,True,0.9889656810594935,0.05237585013568885,1.6242996843549808,0.16717710085336246,0.32005653383729327,0.6613533997290836,2.606258753950484
BifenthrinANDLB-BIF9,Group1,changepoint,,,,False,,,,,,,
BifenthrinANDLB-BIF9,Group1,consensus,92.0,22.999275555555556,93.0,True,0.9889656810594935,0.05237585013568885,1.6242996843549808,0.16717710085336246,0.32005653383729327,0.6613533997290836,2.606258753950484
LambdaCyhalothrinANDLB-LCY4,Group1,first_peak,73.0,18.249405277777775,74.0,True,0.9966234871959556,0.02616542959668087,1.2606997784649001,0.13276382937543663,2.9925706577992526,0.8623972510800982,1.8836778978540545
LambdaCyhalothrinANDLB-LCY4,Group1,stationary_phase,91.0,22.749285277777776,92.0,True,0.9973033242034162,0.024168722654532886,1.2793090891290386,0.13064813642583953,2.9534039177282705,0.4850927889917055,1.53184610869273
LambdaCyhalothrinANDLB-LCY4,Group1,adaptive_r2,33.0,8.249679444444444,34.0,True,0.997883176972736,0.011370742436814723,0.8035195907326126,0.1630688220887037,3.2267068867656183,2.607626776635823,2.184398977766255
LambdaCyhalothrinANDLB-LCY4,Group1,gp_derivative,88.0,21.99930305555555,89.0,True,0.9972076688080468,0.02455754270038096,1.2786022564926822,0.13074461048654468,2.9553731185987666,0.5287127597556547,1.58080659113118
LambdaCyhalothrinANDLB-LCY4,Group1,changepoint,,,,False,,,,,,,
LambdaCyhalothrinANDLB-LCY4,Group1,consensus,88.0,21.99930305555555,89.0,True,0.9972076688080468,0.02455754270038096,1.2786022564926822,0.13074461048654468,2.9553731185987666,0.5287127597556547,1.58080659113118
LB-BIF2,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9892559910564407,0.05174966110387276,1.621240713119485,0.16803374097691925,0.39942474187208954,0.6211047954946264,2.5501404957549383
LB-BIF2,Group1,stationary_phase,78.0,19.49937138888889,79.0,True,0.9875706124251894,0.05650083687887887,1.6080471635964069,0.17031854303947971,0.4381482717219806,0.9337944140793015,3.0190442657976195
LB-BIF2,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9889523723035908,0.052737990740226046,1.6186464154612692,0.1685138468764042,0.4078674041431305,0.6751563016414436,2.6402858175061104
LB-BIF2,Group1,gp_derivative,93.0,23.249269166666668,94.0,True,0.9891078675610157,0.05224121366376975,1.6200368238767708,0.16825839017020233,0.403394550094245,0.647149684286086,2.5941301218017045
LB-BIF2,Group1,changepoint,,,,False,,,,,,,
LB-BIF2,Group1,consensus,93.0,23.249269166666668,94.0,True,0.9891078675610157,0.05224121366376975,1.6200368238767708,0.16825839017020233,0.403394550094245,0.647149684286086,2.5941301218017045
LB-BiF7,Group1,first_peak,61.0,15.249488611111111,62.0,True,0.9843641233366439,0.06418738432959142,1.588591560521659,0.20108545280149848,0.5385934830739084,1.3674571856701794,3.899789483409048
LB-BiF7,Group1,stationary_phase,71.0,17.749419444444445,72.0,True,0.9860455509978169,0.06090479192904617,1.6151452912130655,0.196150283741628,0.48115764418156515,1.0015195316504228,3.4057110736537695
LB-BiF7,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9880747246684994,0.054975902424517394,1.636783910968489,0.19152878259145378,0.42038381681744424,0.6224290689294084,2.7846497534748447
LB-BiF7,Group1,gp_derivative,77.0,19.249378055555557,78.0,True,0.986816451830159,0.05895766358015343,1.6239723846176688,0.1943569975831866,0.45847176055818223,0.8508268688487628,3.1778805504403222
LB-BiF7,Group1,changepoint,,,,False,,,,,,,
LB-BiF7,Group1,consensus,71.0,17.749419444444445,72.0,True,0.9860455509978169,0.06090479192904617,1.6151452912130655,0.196150283741628,0.48115764418156515,1.0015195316504228,3.4057110736537695
