method_a,method_b,n_shared,time_corr,time_mae_hours,r2_corr,classification_agreement_pct
first_peak,stationary_phase,44,0.09968011007306059,17.88587803030303,-0.22302042187495846,93.18181818181817
first_peak,adaptive_r2,44,0.2462743898774864,12.005355239898988,-0.1591183159996915,93.18181818181817
first_peak,gp_derivative,0,,,,
first_peak,changepoint,0,,,,
first_peak,consensus,44,0.2563652649782486,7.420252967171715,-0.18437326327925418,93.18181818181817
stationary_phase,adaptive_r2,44,0.5855974377976457,14.32347491161616,0.4291202129780927,100.0
stationary_phase,gp_derivative,0,,,,
stationary_phase,changepoint,0,,,,
stationary_phase,consensus,44,0.6693141465316462,10.465625063131313,0.45353555102132925,100.0
adaptive_r2,gp_derivative,0,,,,
adaptive_r2,changepoint,0,,,,
adaptive_r2,consensus,44,0.8901493231954494,5.482805214646465,0.8899500020543344,100.0
gp_derivative,changepoint,0,,,,
gp_derivative,consensus,0,,,,
changepoint,consensus,0,,,,
