strain,group,rescue_method,rescue_r2,rescue_rmse,a_err_pct,mu_err_pct,original_reason,delta_od
Bifenthrin-BIF6,Group1,first_peak,0.9879183391796448,0.053869637635262736,0.6978659554666625,2.634278078455852,BAD: Low R²: 0.914 < 0.95; Delta OD not significant: CI lower=0.049 < 0.1; Insufficient growth: delta_od=0.049 < 0.15,0.0492333333333333
Bifenthrin-BIF6,Group1,stationary_phase,0.9873549073113301,0.05528394244570787,0.8204710246258474,2.819451091160767,BAD: Low R²: 0.914 < 0.95; Delta OD not significant: CI lower=0.049 < 0.1; Insufficient growth: delta_od=0.049 < 0.15,0.0492333333333333
Bifenthrin-BIF6,Group1,adaptive_r2,0.9876470420255146,0.05458614707683873,0.7551667260411535,2.7229151972936676,BAD: Low R²: 0.914 < 0.95; Delta OD not significant: CI lower=0.049 < 0.1; Insufficient growth: delta_od=0.049 < 0.15,0.0492333333333333
Bifenthrin-BIF6,Group1,consensus,0.9873549073113301,0.05528394244570787,0.8204710246258474,2.819451091160767,BAD: Low R²: 0.914 < 0.95; Delta OD not significant: CI lower=0.049 < 0.1; Insufficient growth: delta_od=0.049 < 0.15,0.0492333333333333
Flupyradifurone-FLUPC8,Group1,first_peak,0.9796219346938827,0.08613158471382625,1.2585603906529252,10.065087432026798,BAD: Low R²: 0.472 < 0.95; Delta OD not significant: CI lower=0.013 < 0.1; Insufficient growth: delta_od=0.019 < 0.15,0.01869
Flupyradifurone-FLUPC8,Group1,stationary_phase,0.9789366344524303,0.08712046058891744,1.165250742636416,9.404428133903751,BAD: Low R²: 0.472 < 0.95; Delta OD not significant: CI lower=0.013 < 0.1; Insufficient growth: delta_od=0.019 < 0.15,0.01869
Flupyradifurone-FLUPC8,Group1,adaptive_r2,0.9850701270785056,0.07205186288414216,1.4004433462481984,11.067738445450443,BAD: Low R²: 0.472 < 0.95; Delta OD not significant: CI lower=0.013 < 0.1; Insufficient growth: delta_od=0.019 < 0.15,0.01869
Flupyradifurone-FLUPC8,Group1,consensus,0.9796219346938827,0.08613158471382625,1.2585603906529252,10.065087432026798,BAD: Low R²: 0.472 < 0.95; Delta OD not significant: CI lower=0.013 < 0.1; Insufficient growth: delta_od=0.019 < 0.15,0.01869
H2O-IMID8,Group3,first_peak,0.998868685966378,0.0013127613234835704,0.6356469053719837,1.3600850708321663,BAD: Insufficient growth: delta_od=0.133 < 0.15,0.1325266666666666
H2O-IMID8,Group3,stationary_phase,0.9920311611542025,0.003670115935918825,0.47964873905463795,2.3247928231203896,BAD: Insufficient growth: delta_od=0.133 < 0.15,0.1325266666666666
H2O-IMID8,Group3,adaptive_r2,0.9994842969566803,0.0007849692324651487,0.7902579247320553,1.0124046942374956,BAD: Insufficient growth: delta_od=0.133 < 0.15,0.1325266666666666
H2O-IMID8,Group3,consensus,0.998868685966378,0.0013127613234835704,0.6356469053719837,1.3600850708321663,BAD: Insufficient growth: delta_od=0.133 < 0.15,0.1325266666666666
H2O-MAL8,Group2,first_peak,0.9862826097405238,0.00433790770080232,0.4353828374100764,1.9710187316390169,BAD: Insufficient growth: delta_od=0.121 < 0.15,0.121
H2O-MAL8,Group2,stationary_phase,0.9889900899946658,0.003910875300477321,0.5870725804347457,2.1075752651889927,BAD: Insufficient growth: delta_od=0.121 < 0.15,0.121
H2O-MAL8,Group2,adaptive_r2,0.9937977468200663,0.0021416524559725284,1.7520832430474524,2.957986034411819,BAD: Insufficient growth: delta_od=0.121 < 0.15,0.121
H2O-MAL8,Group2,consensus,0.9862826097405238,0.00433790770080232,0.4353828374100764,1.9710187316390169,BAD: Insufficient growth: delta_od=0.121 < 0.15,0.121
H2O-PERM4,Group4,stationary_phase,0.972472469018276,0.002947318643341891,0.9269749715117557,3.054166709681379,BAD: Insufficient growth: delta_od=0.053 < 0.15,0.0527866666666666
H2O-PERM4,Group4,adaptive_r2,0.9819486490124031,0.0018661130703098662,0.17589491005934013,1.5615037751176437,BAD: Insufficient growth: delta_od=0.053 < 0.15,0.0527866666666666
H2O-PERM4,Group4,consensus,0.972472469018276,0.002947318643341891,0.9269749715117557,3.054166709681379,BAD: Insufficient growth: delta_od=0.053 < 0.15,0.0527866666666666
IMIDACLOPRID-IMID8,Group3,first_peak,0.9840404416994443,0.0035269583356615304,0.18687333174242376,1.8778532625669562,BAD: Insufficient growth: delta_od=0.119 < 0.15,0.1194999999999999
IMIDACLOPRID-IMID8,Group3,stationary_phase,0.9959238545333757,0.0023606455460765327,0.31274770439423233,1.5646182792744707,BAD: Insufficient growth: delta_od=0.119 < 0.15,0.1194999999999999
IMIDACLOPRID-IMID8,Group3,adaptive_r2,0.9973302511395865,0.0017826293230249425,0.8922848227782004,1.8440307481883873,BAD: Insufficient growth: delta_od=0.119 < 0.15,0.1194999999999999
IMIDACLOPRID-IMID8,Group3,consensus,0.9959238545333757,0.0023606455460765327,0.31274770439423233,1.5646182792744707,BAD: Insufficient growth: delta_od=0.119 < 0.15,0.1194999999999999
