strain,group,best_method,best_r2,consensus_r2,consensus_rank,n_methods_succeeded
BifenthrinANDLB-BIF2,Group1,first_peak,0.9892559910564411,0.9892559910564411,2,4
BifenthrinANDLB-BIF6,Group1,first_peak,0.9879183391796448,0.9873549073113301,4,4
BifenthrinANDLB-BIF9,Group1,first_peak,0.9891961572165928,0.9891961572165928,2,4
BifenthrinANDLB-BiF7,Group1,adaptive_r2,0.9880747246684973,0.9843641233366477,4,4
FlupyradifuroneANDLB-FLUPC8,Group1,adaptive_r2,0.9850701270785056,0.9796219346938827,3,4
H2O-IMID2,Group3,adaptive_r2,0.9930852804361776,0.9846973579681222,3,4
IMIDACLOPRID-IMID2,Group3,adaptive_r2,0.9979933537650681,0.9975319367124496,3,4
IMIDACLOPRIDANDLB-IMID2,Group3,adaptive_r2,0.9998818046267668,0.9998789513304167,3,4
IMIDACLOPRIDANDLB-IMID3,Group3,adaptive_r2,0.9988557622384683,0.998844075707153,3,4
IMIDACLOPRIDANDLB-IMID5,Group3,adaptive_r2,0.9992978151115864,0.9965038608641472,4,4
IMIDACLOPRIDANDLB-IMID8,Group3,adaptive_r2,0.998622645349567,0.9979164215136588,3,4
LAMBDACYHALOTHRINANDLB-LCY01,Group3,adaptive_r2,0.9998741485531252,0.9998237675079426,4,4
LAMBDACYHALOTHRINANDLB-LCY1,Group2,adaptive_r2,0.9998201152118305,0.998640365771174,3,4
LAMBDACYHALOTHRINANDLB-LCY2,Group3,adaptive_r2,0.9985408984796714,0.9862422608638023,4,4
LAMBDACYHALOTHRINANDLB-LCY3,Group4,adaptive_r2,0.9978208330936155,0.9972730678241828,3,4
LB-BIF2,Group1,first_peak,0.9892559910564411,0.9892559910564411,2,4
LB-BIF6,Group1,first_peak,0.9879183391796448,0.9873549073113301,4,4
LB-BIF9,Group1,first_peak,0.9891961572165928,0.9891961572165928,2,4
LB-BiF7,Group1,adaptive_r2,0.9880747246684973,0.9843641233366477,4,4
LB-FLUPC8,Group1,adaptive_r2,0.9850701270785056,0.9796219346938827,3,4
LB-IMID2,Group3,adaptive_r2,0.9995818152812455,0.9994750986668247,3,4
LB-IMID3,Group3,adaptive_r2,0.9994248594122869,0.9990921698050418,3,4
LB-IMID8,Group3,adaptive_r2,0.9992265332438803,0.9990571922909139,3,4
LB-LCY01,Group3,adaptive_r2,0.9998741485531252,0.9998237675079426,4,4
LB-LCY1,Group2,adaptive_r2,0.9998201152118305,0.998640365771174,3,4
LB-LCY3,Group4,adaptive_r2,0.9978208330936155,0.9972730678241828,3,4
LB-LCY4,Group1,adaptive_r2,0.9978831769727359,0.9966234871959556,4,4
LB-MAL1,Group2,adaptive_r2,0.9988308386686654,0.9985031255635024,3,4
LB-MAL10,Group2,adaptive_r2,0.9988308386686654,0.9985031255635024,3,4
LB-MAL4,Group2,adaptive_r2,0.9994102243810264,0.9986548735089993,3,4
LB-MAL5,Group2,adaptive_r2,0.9996231291418647,0.9995728666706648,3,4
LB-MAL8,Group2,first_peak,0.9987327233081452,0.9987327233081452,3,4
LB-PERM4,Group4,adaptive_r2,0.9950111435724593,0.9889294920001725,4,4
LB-PERM7,Group4,adaptive_r2,0.9966634052484556,0.9909126406633039,4,4
LambdaCyhalothrinANDLB-LCY4,Group1,adaptive_r2,0.9978831769727359,0.9966234871959556,4,4
MALATHIONANDLB-MAL1,Group2,adaptive_r2,0.9988308386686654,0.9985031255635024,3,4
MALATHIONANDLB-MAL4,Group2,adaptive_r2,0.9994102243810264,0.9986548735089993,3,4
MALATHIONANDLB-MAL5,Group2,adaptive_r2,0.9996231291418647,0.9995728666706648,3,4
MALATHIONANDLB-MAL8,Group2,first_peak,0.9987327233081452,0.9987327233081452,3,4
PERMETHRIN-PERM4,Group4,adaptive_r2,0.9959777880797321,0.9957733449860959,3,4
PERMETHRIN-PERM7,Group4,adaptive_r2,0.9988627056081594,0.9986702414281093,3,4
PERMETHRINANDLB-CYPERM2,Group4,stationary_phase,0.9988753926127242,0.9988753926127242,2,4
PERMETHRINANDLB-PERM4,Group4,adaptive_r2,0.9950111435724593,0.9889294920001725,4,4
PERMETHRINANDLB-PERM7,Group4,adaptive_r2,0.9966634052484556,0.9909126406633039,4,4
