strain,bio_strain_id,pesticide,is_good,predicted_degrader,predicted_proba
MALATHIONANDLB-MAL8,MAL8,Malathion,True,0,0.4805040541016988
MALATHIONANDLB-MAL1,MAL1,Malathion,True,0,0.4000465003064145
MALATHIONANDLB-MAL5,MAL5,Malathion,True,0,0.4000465003064145
MALATHIONANDLB-MAL4,MAL4,Malathion,True,0,0.4877874649183275
DIAZINONANDG-DIAZ18,DIAZ18,Diazinon,False,1,0.5086344929139631
DIAZINONANDG-DIAZ23,DIAZ23,Diazinon,False,1,0.5021811425076369
DIAZINONANDG-DIAZ26,DIAZ26,Diazinon,False,0,0.4950683721029794
DIAZINONANDG-DIAZ28,DIAZ28,Diazinon,False,1,0.5099017979476702
DIAZINONANDG-DIAZ8,DIAZ8,Diazinon,True,1,0.9766287603623458
MALATHIONANDG-MAL1,MAL1,Malathion,False,0,0.4000465003064145
MALATHIONANDG-MAL2,MAL2,Malathion,False,1,0.5000142985072872
MALATHIONANDG-MAL3,MAL3,Malathion,False,0,0.4000465003064145
MALATHIONANDG-MAL4,MAL4,Malathion,False,0,0.4877874649183275
MALATHIONANDG-MAL5,MAL5,Malathion,False,0,0.4000465003064145
MALATHIONANDG-MAL6,MAL6,Malathion,False,0,0.03916645230380275
MALATHIONANDG-MAL7,MAL7,Malathion,False,0,0.03916645230380275
MALATHIONANDG-MAL8,MAL8,Malathion,False,0,0.4805040541016988
DIAZINONANDLB-DIAZ18,DIAZ18,Diazinon,True,1,0.5086344929139631
DIAZINONANDLB-DIAZ23,DIAZ23,Diazinon,True,1,0.5021811425076369
DIAZINONANDLB-DIAZ26,DIAZ26,Diazinon,True,0,0.4950683721029794
DIAZINONANDLB-DIAZ28,DIAZ28,Diazinon,True,1,0.5099017979476702
DIAZINONANDLB-DIAZ8,DIAZ8,Diazinon,True,1,0.9766287603623458
MALATHIONANDLB-MAL2,MAL2,Malathion,True,1,0.5000142985072872
