feature,coefficient,abs_coefficient
n_degradation_genes,0.0,0.0
best_bitscore_cytochrome_p450,0.0,0.0
has_nitroreductase,0.0,0.0
n_hits_nitroreductase,0.0,0.0
max_pident_nitroreductase,0.0,0.0
best_bitscore_nitroreductase,0.0,0.0
mean_pident_nitroreductase,0.0,0.0
has_nitrilase,0.0,0.0
n_hits_nitrilase,0.0,0.0
max_pident_nitrilase,0.0,0.0
best_bitscore_nitrilase,0.0,0.0
mean_pident_nitrilase,0.0,0.0
has_efflux_pump,0.0,0.0
n_hits_efflux_pump,0.0,0.0
max_pident_efflux_pump,0.0,0.0
best_bitscore_efflux_pump,0.0,0.0
mean_pident_efflux_pump,0.0,0.0
mean_pident_cytochrome_p450,0.0,0.0
max_pident_cytochrome_p450,0.0,0.0
has_carboxylesterase,0.0,0.0
n_hits_cytochrome_p450,0.0,0.0
n_hits_carboxylesterase,0.0,0.0
max_pident_carboxylesterase,0.0,0.0
best_bitscore_carboxylesterase,0.0,0.0
mean_pident_carboxylesterase,0.0,0.0
has_opd_mpd,0.0,0.0
n_hits_opd_mpd,0.0,0.0
max_pident_opd_mpd,0.0,0.0
best_bitscore_opd_mpd,0.0,0.0
mean_pident_opd_mpd,0.0,0.0
has_pyrethroid_hydrolase,0.0,0.0
n_hits_pyrethroid_hydrolase,0.0,0.0
max_pident_pyrethroid_hydrolase,0.0,0.0
best_bitscore_pyrethroid_hydrolase,0.0,0.0
mean_pident_pyrethroid_hydrolase,0.0,0.0
has_cytochrome_p450,0.0,0.0
pesticide_gene_relevance_score,0.0,0.0
