strain_id,mu_prior_mean,mu_prior_sigma,lambda_prior_mean,lambda_prior_sigma,a_prior_mean,a_prior_sigma
Chlorp10,0.08006806190451964,0.1152035418782693,7.372771404531769,7.3192122826024955,0.544846857107788,0.6738762897435554
Chlorp11,0.07963656957010137,0.11551645258043122,7.133138740525744,7.370527303919409,0.5436010896425503,0.6741578916856195
Chlorp2,0.07954774885270295,0.11497030502800192,7.2505167881540205,7.280277138224588,0.5444174589855618,0.6736684696727395
Chlorp3,0.07928017857359661,0.11539045533289075,7.195575117727037,7.353069941648215,0.5440623566713837,0.6740336618507253
Chlorp4,0.0791433214505694,0.11515594888767729,7.1822064705274595,7.312389610131753,0.5440035547287421,0.6738297592760222
Chlorp5,0.0804276430916723,0.11520298298559581,7.44391319031749,7.317393656040187,0.5450268139750702,0.6738812033617809
Chlorp7,0.07972519052372024,0.11518304698825964,7.303161607556602,7.3166070622155805,0.5445803582239944,0.6738553120852507
Chlorp8,0.07520431631235755,0.1178690935069584,5.487819058206183,7.743057002525144,0.5397200154596342,0.676307263294762
Diaz11,0.07722033650621274,0.11479477778919676,6.584919325172821,7.251645004005512,0.5431933755849563,0.6735085479216372
Diaz18,0.07112277857462022,0.11594376698431799,5.630720706153985,7.405143820100043,0.5375760988095992,0.6746605044493491
Diaz21,0.0779933563232739,0.11458782486958466,6.742842165464781,7.217707276202084,0.5434405281568921,0.6733237041000969
Diaz23,0.07269461058763663,0.11629531941950533,4.974280029524396,7.46440216619632,0.5384775340261123,0.6749638667044796
Diaz26,0.0752943865046435,0.11457751473487007,6.124334635213756,7.214136409831763,0.5409775839407363,0.673320111426834
Diaz28,0.0744472572465017,0.11624029749500306,5.712851504220515,7.457191867229571,0.5421483691332493,0.6749096468208168
Diaz8,0.07158379186397212,0.11544843345208002,5.45574172394441,7.332800340085816,0.5375789159364812,0.6741875244694028
Dimeth1,0.07274713609067662,0.11680558245364477,4.972599405319648,7.555796698771743,0.5381866660878267,0.6753986110419732
Dimeth2,0.07474714118354557,0.11988405527273008,5.465401147315537,8.066028707482607,0.5406057668401227,0.678145941671979
Dimeth3,0.0766104406115032,0.11959584889605948,5.846323632336408,8.024527759308484,0.5417979830697135,0.6778654639072258
Dimeth4,0.07890085657712531,0.11738708035490199,6.391146840512229,7.659821671570957,0.5441736147382902,0.6758936737785979
Dimeth7,0.07805967410440777,0.11919809596833442,6.04762468318035,7.946256411068727,0.543452266781429,0.6775544386872272
Dimeth8,0.07779299660731209,0.11766507550472209,6.206902266960338,7.709880627407229,0.5436185023764725,0.6761286518542198
Dimeth9,0.07852486344434538,0.12191546508413634,6.268547793227432,8.409419055670304,0.5443915967455485,0.6799339143643905
Mal1,0.08130762900182921,0.11456931658609473,7.423153741471673,7.206158096750228,0.5456045466644125,0.6733362669410122
Mal2,0.07775809664864432,0.11452175121114537,6.712225844926944,7.205391200545525,0.5433564362801414,0.6732683726806051
Mal3,0.08128909847848076,0.11456605879723114,7.419596518186639,7.2056676658973196,0.5455954611833708,0.6733331784205894
Mal4,0.08125421749335429,0.11456031220811205,7.412900568473636,7.20481054762576,0.5455783591014101,0.6733277035002355
Mal5,0.08130762900182921,0.11456931658609473,7.423153741471673,7.206158096750228,0.5456045466644125,0.6733362669410122
Mal6,0.08149157776894042,0.11492960732477288,7.3073930183439675,7.260162497468346,0.5448399906798229,0.6736782090437179
Mal7,0.08149157776894042,0.11492960732477288,7.3073930183439675,7.260162497468346,0.5448399906798229,0.6736782090437179
Mal8,0.08199857308438452,0.11503424057874907,7.317721603874436,7.275328763598878,0.5451332684585501,0.6737794349745466
