strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae
FlupyradifuroneANDLB-FLUPC8,True,GOOD: Fit quality passed,1.4999000000000002,1.5188666666666668,,,,0.978936634452436,1.1652507402388543,9.404428026300856,13.999524166666664,57,1.4317135794502323,0.01668305308264403,0.7165868536333342,0.06739089489588078,3.385070243142956,0.10167092097211215,0.978936634452436,0.08712046058890581,0.07454573456063597
BifenthrinANDLB-BIF2,True,GOOD: Fit quality passed,1.6192333333333329,1.6315999999999995,,,,0.9875706124251894,0.9337944140793015,3.0190442657976195,19.49937138888889,79,1.6080471635964069,0.015015854589423894,0.17031854303947971,0.005141992207223463,0.4381482717219806,0.14068974033353482,0.9875706124251894,0.05650083687887887,0.040443188622891625
BifenthrinANDLB-BiF7,True,GOOD: Fit quality passed,1.6470333333333333,1.6602,,,,0.9860455509978169,1.0015195316504228,3.4057110736537695,17.749419444444445,72,1.6151452912130655,0.016175995556030952,0.196150283741628,0.006680311934391913,0.48115764418156515,0.13944623991430846,0.9860455509978169,0.06090479192904617,0.046805017917863345
BifenthrinANDLB-BIF6,True,GOOD: Fit quality passed,1.6294533333333334,1.6505,,,,0.9873549073113296,0.8204710244212009,2.8194511247494707,21.74930888888889,88,1.6170339880219948,0.01326729532676306,0.15586841667009016,0.004394633826934048,0.09309608434785543,0.14605502082978739,0.9873549073113296,0.05528394244570898,0.04123226674737151
BifenthrinANDLB-BIF9,True,GOOD: Fit quality passed,1.62038,1.6345666666666667,,,,0.9871655193545725,0.9959495070573736,3.0845748878463546,18.999383611111114,77,1.6123984605270092,0.01605867451941943,0.16915132456201834,0.005217599279899501,0.353878738930835,0.1441885368380973,0.9871655193545725,0.05714689140928122,0.04027529999690712
LambdaCyhalothrin-LCY4,False,BAD: Low R²: -0.061 < 0.95; High mu error: 54.7% > 20.0%,0.09163333333333323,0.2368333333333332,,,,-0.060845535153307706,1.8445722459298308,54.65749525674916,22.749285277777776,92,0.1949455577068496,0.0035959116521336702,0.5320297333434552,0.2907941262666942,1.3064716085497793e-42,0.1241007907080635,-0.060845535153307706,0.03336994985992925,0.02965083465887296
Flupyradifurone-FLUPC8,False,BAD: Low R²: 0.467 < 0.95,0.020486666666666657,0.0318333333333333,,,,0.4665343946308721,2.3560417041824357,14.351945901802443,23.49926194444444,95,0.02563280550261894,0.0006039195875936725,0.0038397155673474083,0.0005510739010087868,4.291590562074027e-33,0.5134732090266086,0.4665343946308721,0.004062910316154595,0.003095973210100351
LambdaCyhalothrinANDLB-LCY4,True,GOOD: Fit quality passed,1.2698,1.2698,,,,0.9973033242034162,0.4850927889917055,1.53184610869273,22.749285277777776,92,1.2793090891290386,0.006205836140280437,0.13064813642583953,0.002001328393918792,2.9534039177282705,0.07369292146317984,0.9973033242034162,0.024168722654532886,0.018185650254529305
LB-BIF2,True,GOOD: Fit quality passed,1.76098,1.7946666666666666,,,,0.9772341834912962,0.9470151506198364,5.05406482365929,16.49945222222222,67,1.6465850122704164,0.015593409534036337,0.33078403380683913,0.016718039494912712,0.7717397514957901,0.13235879244044246,0.9772341834912962,0.08101598302228476,0.07036343300832179
LB-BiF7,True,GOOD: Fit quality passed,1.7870933333333334,1.7976666666666667,,,,0.9787603002793236,0.9392113412296559,5.265754735505173,15.999469722222225,65,1.643286149368642,0.015433929883726388,0.36640842088262343,0.019294168773916466,1.0066221743367103,0.1248023583905765,0.9787603002793236,0.08084156798851497,0.07097171599568286
