strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification,mu_refined,mu_refined_rel_err,mu_trunc_time,mu_identifiable,A_refined,A_refined_rel_err,A_trunc_time,A_identifiable,lam_refined,lam_refined_rel_err,lam_trunc_time,lam_identifiable,param_disagreement_hours,param_quality,usable_for
IMIDACLOPRID-IMID2,True,GOOD (ML): P(good)=1.000,0.2686666666666667,0.2686666666666667,,26866666.66666667,,0.9979933537650681,2.179340961220605,1.403038031847528,gompertz,16.249525277777778,66,0.1211417285018424,0.002640091310371308,0.012636194264227704,0.0001772906113052506,7.29358185739374,0.05326988772110376,0.9979933537650681,0.0015450146352441391,0.0010898970435653987,1e-08,0.8200836820083682,0.6142037371440341,0.26866664666666673,0.9999747025773326,GOOD,0.009084528246435904,0.008947616555283438,90.49750055555556,identifiable,0.2556778936440424,0.0017771602618548597,90.49750055555556,identifiable,7.114660896675025,0.006718264765526053,11.74964777777778,identifiable,78.74785277777778,all_identifiable,"growth_rate,carrying_capacity,lag_time"
IMIDACLOPRID-IMID3,False,BAD: Rejected by ML pre-fit gate,0.007866666666666702,0.0393,,3.156133366706563,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID5,False,BAD: Rejected by ML pre-fit gate,0.0028199999999999996,0.0049333333333333,,1.914708965633961,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID8,True,"GOOD (per-param): growth_rate,carrying_capacity,lag_time identifiable (ML said BAD, per-param override)",0.1194999999999999,0.1194999999999999,,11949999.999999989,,0.9973302511395867,0.8922848200552006,1.8440307339575492,gompertz,16.749513888888888,68,0.0946565063809881,0.0008446056376321392,0.01125165903961634,0.00020748405077063815,3.6535070992453944,0.07110553127762337,0.9973302511395867,0.0017826293230248742,0.001387998614706453,1e-08,0.6694560669456067,0.27875700731510195,0.1194999799999999,3.3358124424407716e-05,BAD,0.00917143129123994,0.013898320436913289,66.99813888888889,identifiable,0.10801078286996937,0.0016879456722447813,70.4980475,identifiable,3.7674373148227662,0.016944478425711437,10.9996675,identifiable,59.49838,all_identifiable,"growth_rate,carrying_capacity,lag_time"
LAMBDACYHALOTHRIN-LCY01,False,BAD: Rejected by ML pre-fit gate,0.0,0.0,,0.0,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
LAMBDACYHALOTHRIN-LCY2,False,BAD: Rejected by ML pre-fit gate,0.009546666666666617,0.0253999999999999,,2.478135937921729,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
LAMBDACYHALOTHRINANDLB-LCY01,True,GOOD (ML): P(good)=1.000,1.815863333333333,1.842133333333333,,241.17395140188302,,0.9999373163001094,0.04880520933937334,0.20315485499024874,gompertz,26.99923194444445,99,1.7775872236228303,0.0008675551656790768,0.19209759983002378,0.0003902556003744331,3.9185813551711464,0.009611612824814377,0.9999373163001094,0.004594108690154232,0.0035106756249177053,0.007529268077162479,0.7447698744769874,0.6348128918084955,1.800804797179008,0.9999964908636755,GOOD,0.19035446724065672,0.003216591207712441,35.99898805555556,identifiable,1.7715056934494573,0.0004703164167950648,72.74798805555555,identifiable,3.905223669196763,0.003952758958510988,27.24922555555555,identifiable,45.4987625,all_identifiable,"growth_rate,carrying_capacity,lag_time"
LAMBDACYHALOTHRINANDLB-LCY2,True,GOOD (ML): P(good)=1.000,1.3332966666666672,1.3987000000000005,,130.6243728904192,,0.9988023707684506,0.28846882078963754,0.8023485127246022,gompertz,26.49924888888889,102,1.054182190033946,0.0030409869325653,0.0798218025919581,0.0006404490459265438,2.219736199485895,0.05101376199970715,0.9988023707684506,0.011358873778518162,0.00918709043547467,0.01020710482403747,0.8451882845188284,0.9483804073363555,1.3128824570185924,0.9999963349712774,GOOD,0.07845015433761073,0.008691449877098915,28.499192222222224,identifiable,1.0674275316107562,0.002741381228179949,30.249143611111112,identifiable,2.116939260854812,0.027060807242005925,28.499192222222224,identifiable,1.7499513888888885,all_identifiable,"growth_rate,carrying_capacity,lag_time"
LB-IMID2,True,GOOD (ML): P(good)=1.000,1.4788033333333335,1.6052000000000002,,29.55011539630686,,0.999826014210793,0.45967015672617706,0.4376821733122026,gompertz,10.499682222222225,38,1.7036879801549025,0.007831345208503081,0.1955191121136945,0.00085575229913994,1.2548455611993472,0.015384843856265049,0.999826014210793,0.005757606379465269,0.004730010139002244,0.0500439106074744,0.5481171548117155,0.6996111777216225,1.3787155121183847,0.9999975821042486,GOOD,0.21098349468927347,0.006332934179474591,91.49747444444444,identifiable,1.5877968149665898,0.00047131705622013777,93.24742722222224,identifiable,1.4216066162909795,0.01840019121088166,91.49747444444444,identifiable,1.749952777777807,all_identifiable,"growth_rate,carrying_capacity,lag_time"
LB-IMID3,True,GOOD (ML): P(good)=1.000,1.6036100000000002,1.673366666666667,,100.40598391751838,,0.9994248594122869,1.3586608895911283,0.45097038932628164,gompertz,14.249579444444445,53,1.1096850949436008,0.015107837309839884,0.06571092555950404,0.00032015486391139697,1.4282128748945597,0.031783434253038596,0.999403387937218,0.005524826463354964,0.00444787088724261,0.015971259255995494,1.0,0.7313873253008882,1.5716674814880092,0.9999960654245905,GOOD,0.06533913659969633,0.0045097038932628165,14.249579444444445,identifiable,1.36486888898114,0.0020057216985927486,41.24884361111111,identifiable,1.4000883941656128,0.02246942313393037,14.249579444444445,identifiable,26.99926416666667,all_identifiable,"growth_rate,carrying_capacity,lag_time"
