strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification
PERMETHRIN-PERM4,True,GOOD (ML): P(good)=1.000,0.1787333333333333,0.1787333333333333,,17873333.33333333,,0.9959777880797321,1.0098880716315368,1.5856685046075403,gompertz,39.998893888888894,161,0.11277121678519518,0.0011388630665474277,0.006100271921190803,9.673009054973987e-05,14.859844934343343,0.12840904969971012,0.9959777880797321,0.0025736072454904378,0.001818878460167914,1e-08,0.6491228070175439,0.7474084207546188,0.1787333133333333,0.9999673310070313,GOOD
PERMETHRIN-CYPERM2,False,BAD (ML): P(good)=0.000,0.0,0.0,,,,0.0,inf,inf,gompertz,95.2474111111111,382,,,,,,,,,,,,,,3.902581435382869e-06,BAD
PERMETHRIN-PERM7,True,GOOD (ML): P(good)=1.000,0.2114666666666666,0.2114666666666666,,21146666.66666666,,0.9988627056081594,0.21238603591810443,0.7518879322659243,gompertz,58.248404722222226,234,0.21096707579398566,0.000448064609371189,0.010723168369435284,8.06262089263406e-05,14.894632923050017,0.07394612303036702,0.9988627056081594,0.002881622502642612,0.0019653060781526844,1e-08,0.6447368421052632,0.6691059382277018,0.21146664666666662,0.9999974088837632,GOOD
PERMETHRIN-CISPERM1,False,BAD (ML): P(good)=0.000,0.0,0.0,,,,0.0,inf,inf,gompertz,95.2474111111111,382,,,,,,,,,,,,,,3.902581435382869e-06,BAD
LAMBDACYHALOTHRIN-LCY3,False,BAD (ML): P(good)=0.017,0.0595666666666666,0.0595666666666666,,5956666.6666666595,,0.9582908953450541,1.7115276367873369,3.0111378330877483,gompertz,84.4976975,339,0.04438762107907107,0.0007597064020807429,0.0010000000000000002,3.011137833087749e-05,20.479652447296534,0.5964458871513443,0.9582908953450541,0.0030726402614856194,0.002164017921715002,1e-08,0.4868421052631579,0.5962439999611847,0.0595666466666666,0.01683013916575842,BAD
LAMBDACYHALOTHRINANDLB-LCY3,True,GOOD (ML): P(good)=1.000,1.6264500000000004,1.666966666666667,,1325.416166697059,,0.9986492658514736,0.5429228866971127,1.0384868087812487,gompertz,20.499419166666662,73,1.0422885692223773,0.005658823187736165,0.09478779821538581,0.0009843587808009695,4.092505588643233,0.05161660490727527,0.9986492658514736,0.012258005725865155,0.01050682718352958,0.001227124008946653,0.9736842105263158,0.9305063369631454,1.623995751982107,0.9999989375141336,GOOD
PERMETHRINANDLB-PERM4,True,GOOD (ML): P(good)=1.000,1.8062633333333336,1.834266666666667,,139.34182436115321,,0.9950111435724593,1.824938381614844,4.09912369294273,gompertz,8.249745833333334,34,1.0887382479438594,0.019868802162048473,0.31898599256025556,0.013075630398205971,2.757596644236933,0.0650221665576848,0.9950111435724593,0.028941495824857565,0.024266640734392036,0.012962822480720278,0.9473684210526315,0.8025973475217902,1.780337688371893,0.9999997719848979,GOOD
PERMETHRINANDLB-CYPERM2,True,GOOD (ML): P(good)=1.000,0.6700633333333333,0.6882,,194.66662433332303,,0.997286645428451,0.6159178031392876,0.9256653544653702,gompertz,92.74747555555555,348,0.7446505774442241,0.004586435477658485,0.021263255822196434,0.00019682659237741312,45.99763583681943,0.14102022500602718,0.997286645428451,0.013597009407279512,0.008684452286194905,0.0034421069129241173,0.42543859649122806,0.9451394411316215,0.6631791195074851,0.9999614678141697,GOOD
PERMETHRINANDLB-PERM7,True,GOOD (ML): P(good)=1.000,1.7386166666666667,1.8464,,25.06885209155925,,0.9966634052484556,1.5322279123470275,2.7258336273039037,gompertz,7.749759444444444,32,1.1752683322769122,0.018007789432122258,0.2557135483474666,0.006970325890427271,1.1956516382708062,0.055998409300808474,0.9966634052484556,0.022698867023224583,0.020173840041361427,0.06935366088230516,0.9429824561403509,0.8322693652168024,1.5999093449020565,0.999999715206313,GOOD
PERMETHRINANDLB-CISPERM1,True,GOOD (ML): P(good)=0.998,0.3445000000000001,0.3452666666666667,,499.91160893948097,,0.9775413122857495,10.158994126831372,3.757362549663111,gompertz,95.2474111111111,382,0.8241250990865557,0.08372282041394642,0.011415218811450259,0.0004289111565835305,64.28930862291064,0.9081667668551027,0.9775413122857495,0.014368141685915329,0.010143758249480026,0.0006891218244177744,0.4824561403508772,0.9853537834545818,0.34312175635116454,0.9975837347816032,GOOD
LB-PERM4,True,GOOD (ML): P(good)=1.000,1.8186033333333342,1.8854000000000009,,89.6026934821079,,0.9921793915151,1.0585761627525487,4.727188284760718,gompertz,9.749706111111111,35,1.4756967687784794,0.01562137422879858,0.5334573472041292,0.025217533221228904,2.4601270953889176,0.06745782261341497,0.9921793915151,0.04817179146534848,0.041709268750772334,0.020296302071505002,0.881578947368421,0.8226015409161809,1.7780107291903242,0.9999969078877373,GOOD
LB-CYPERM2,False,BAD (ML): P(good)=0.001,0.10923333333333336,0.1436,,74.58908605397265,,0.9966118275454088,0.22205571541157365,1.2323420011643853,gompertz,29.24918388888889,101,0.1405842189319379,0.00031217529310508766,0.013777920907350609,0.0001697911062284907,2.1302362466628697,0.07100734791243331,0.9966118275454088,0.0018048317547922064,0.0014498647900663677,0.0014644680490426192,0.5482456140350878,0.692728213319493,0.10630439723524812,0.0014956157394052816,BAD
LB-PERM7,True,GOOD (ML): P(good)=1.000,1.7900900000000004,1.8726333333333336,,27.20909612507077,,0.9968001505265758,1.010256998840214,3.4573907615524075,gompertz,7.499768888888889,31,1.4015456234414347,0.014159212752755803,0.5156320419404556,0.01782741458165335,1.7672152773417487,0.04673972720798695,0.9968001505265758,0.03104010208511642,0.02791295485737062,0.0657901310565988,0.8157894736842105,0.8341552755454509,1.6585097378868028,0.9999997152192639,GOOD
