strain,group,pesticide,S0_mg_L,gompertz_a,gompertz_mu,gompertz_lambda,gompertz_r2,haldane_success,haldane_r2,haldane_rmse,haldane_mu_max,haldane_Ks,haldane_Ki,haldane_X_max,haldane_q,haldane_S0,Ki_over_S0
FlupyradifuroneANDLB-FLUPC8,Group1,FLUPYRADIFURONE,20.0,1.3243941421946666,1.117949570793807,3.695084294682222,0.9850701270785254,True,0.978569679229792,0.07764807605608702,4.636263629685309,0.010294436015022635,10.885825851674001,1.4695756115054568,0.14111538183562855,20.0,0.5442912925837
BifenthrinANDLB-BIF2,Group1,BIFENTHRIN,50.0,1.621240713119485,0.1680337409769192,0.3994247418720895,0.9892559910564408,True,0.9781901866938982,0.07373103043294789,2.3714339072399726,0.09705883936643057,10.075493034236338,1.5956972840577337,0.001,50.0,0.20150986068472676
BifenthrinANDLB-BiF7,Group1,BIFENTHRIN,50.0,1.6473873454206736,0.1787115018685355,1.8865991255708968e-19,0.989122570688473,True,0.9758092305425287,0.07775153324543743,2.627836675756417,0.09657426569539337,10.086889435850306,1.6192237321908822,0.001,50.0,0.20173778871700612
BifenthrinANDLB-BIF6,Group1,BIFENTHRIN,50.0,1.6298124170612045,0.1537433449497315,0.0479050463856135,0.9879183391796452,True,0.9753023374122715,0.07702091277549024,2.163045363315521,0.09843157060074724,10.040237896574357,1.5992639425362625,0.001,50.0,0.20080475793148714
BifenthrinANDLB-BIF9,Group1,BIFENTHRIN,50.0,1.6260780114585782,0.1668522140759865,0.3141993244396556,0.9891961572165936,True,0.9785639253058198,0.07272408544004448,2.34594807449129,0.09714581155057397,10.073596404378609,1.6004324995761061,0.001,50.0,0.2014719280875722
LambdaCyhalothrinANDLB-LCY4,Group1,LAMBDACYHALOTHRIN,50.0,0.8035195907326126,0.1630688220887037,3.2267068867656183,0.997883176972736,True,0.9896435910820567,0.0473625067494809,2.518328825131902,0.09663407821704884,10.085796483992146,1.2440562326796671,0.001,50.0,0.20171592967984292
LAMBDACYHALOTHRINANDLB-LCY1,Group2,LAMBDACYHALOTHRIN,50.0,1.4247620349233323,0.2020784059383845,4.033926928889561,0.9997920764243828,True,0.9664889092204916,0.073871091471433,1.7910867912176667,0.0818869231818607,15.962599198683424,1.6098640849353767,0.001,50.0,0.3192519839736685
MALATHIONANDLB-MAL8,Group2,MALATHION,50.0,1.649598554667138,0.3397525880942849,1.9430264996856172,0.9996188975479932,True,0.7415096526339666,0.12270639787902911,1.2515607657716326,0.036748931616380584,99.94463333921327,1.3778423715364367,9.971799231194709,50.0,1.9988926667842655
MALATHIONANDLB-MAL10,Group2,MALATHION,50.0,4.393699999999999,0.0169932402760689,5.809224005025143e-13,-1.3318700839177635,True,0.8231149967998301,0.11476811234624368,4.999999989387568,0.001,13.82431644806106,1.1755128552461434,0.1888676135155044,50.0,0.2764863289612212
MALATHIONANDLB-MAL1,Group2,MALATHION,50.0,1.7085904700448085,0.3822387756643763,2.4454866078221973,0.9997400057007352,True,0.8243695234897683,0.11436040153244253,0.9831861997033053,0.001,220.89260278503352,1.2255359182333467,1.9922016148563813,50.0,4.417852055700671
MALATHIONANDLB-MAL5,Group2,MALATHION,50.0,1.5938359958157342,0.2947653135301036,2.713137198583894,0.9996231291418648,True,0.7640232244970719,0.12541920025514802,3.790458601890242,0.029493919337296226,23.97573551616986,1.172361455121582,0.12171482419125355,50.0,0.4795147103233972
MALATHIONANDLB-MAL4,Group2,MALATHION,50.0,2.356154755057795,0.2263306112418306,3.285694212861973,0.9994328260533646,True,0.8096951515593955,0.10547927193627049,5.0,0.001,9.16456647196856,1.0813238700970995,10.0,50.0,0.18329132943937118
LAMBDACYHALOTHRINANDLB-LCY01,Group3,LAMBDACYHALOTHRIN,50.0,1.7775872236228305,0.1920975998300237,3.9185813551711464,0.9999373163001094,True,0.9950173030480401,0.03124137627154051,1.540436158176337,0.09005246989894189,18.004334717260786,1.7816085587459245,0.001,50.0,0.36008669434521573
LAMBDACYHALOTHRINANDLB-LCY2,Group3,LAMBDACYHALOTHRIN,50.0,1.054182190033946,0.0798218025919581,2.219736199485895,0.9988023707684506,True,0.9296994327384377,0.08570008412821596,0.8384086324596959,0.09088950132035553,11.481310996458575,1.252995266210853,0.001,50.0,0.2296262199291715
IMIDACLOPRIDANDLB-IMID2,Group3,IMIDACLOPRID,20.0,1.6350390875295584,0.1503029170335654,0.5983613089055274,0.999838727580009,True,0.9913559027266909,0.030336029773007908,0.9268818463752546,0.10245455810577246,11.316690028748932,1.6452469689158562,0.001,20.0,0.5658345014374466
IMIDACLOPRIDANDLB-IMID3,Group3,IMIDACLOPRID,20.0,1.6791390358618268,0.0740684994375518,2.777118844308078,0.9987250936676604,True,0.9797592517454337,0.07556228499325848,0.3859234793009752,0.09992100495122182,9.9012760907133,1.841066126121096,0.001,20.0,0.49506380453566495
IMIDACLOPRIDANDLB-IMID5,Group3,IMIDACLOPRID,20.0,1.1322605555192913,0.0764563926991422,1.8034452993388,0.9992978151115864,True,0.9858710781598837,0.05431957283161293,0.4388422597356302,0.1037878965505052,8.791031162664973,1.6723126419033882,0.001,20.0,0.43955155813324864
IMIDACLOPRIDANDLB-IMID8,Group3,IMIDACLOPRID,20.0,1.2908956583638014,0.1254681535497411,2.2229584092054555,0.999533387275786,True,0.9669402831405984,0.08697177804170007,0.32443660427352133,0.1012171322636027,9.776414431354155,1.8511903694900524,0.001,20.0,0.4888207215677077
LAMBDACYHALOTHRINANDLB-LCY3,Group4,LAMBDACYHALOTHRIN,50.0,1.0422885692782824,0.0947877981924056,4.09250558726308,0.9986492658514736,True,0.9367635582117492,0.11085137360665327,0.5474553592032732,0.09660021574436244,10.867892221385826,1.5465300815548022,0.001,50.0,0.21735784442771652
PERMETHRINANDLB-PERM4,Group4,PERMETHRIN,100.0,1.0887382479438594,0.3189859925602555,2.757596644236933,0.9950111435724592,True,0.9708411685004851,0.0682255903096964,1.7828883211101487,0.08204109088760454,22.047987924015317,1.7802173508060577,0.001,100.0,0.22047987924015316
PERMETHRINANDLB-CYPERM2,Group4,PERMETHRIN,100.0,0.7446505772802634,0.021263255827358,45.99763583936588,0.9972866454284508,True,0.9977295695500666,0.012599444105767214,1.4937626076523516,0.09967230139832833,10.03280655238091,0.6802102080734531,0.09971730812670251,100.0,0.1003280655238091
PERMETHRINANDLB-PERM7,Group4,PERMETHRIN,100.0,1.1752683316181396,0.2557135487207685,1.1956516416865717,0.9966634052484544,True,0.9704436508219739,0.061526596572126536,1.6743860165876474,0.07987797898426938,21.80687009593541,1.7943036008736695,0.001,100.0,0.2180687009593541
PERMETHRINANDLB-CISPERM1,Group4,PERMETHRIN,100.0,0.8241250992723673,0.0114152188202764,64.28930863833344,0.9775413122857476,True,0.9816607752188513,0.012983712808424808,1.1366542877117496,0.09993310698894657,10.006670031410573,0.44057009946415215,0.10002965162620413,100.0,0.10006670031410574
DIAZINONANDG-DIAZ26,Group5,DIAZINON,20.0,0.101840511510171,0.0045601268208523,11.193580485143327,0.9980958560850371,True,0.985901653127544,0.004375117587908554,0.5666885867390716,0.09934193262580693,10.002632968798876,0.0953490513282093,0.09994642421823986,20.0,0.5001316484399438
DIAZINONANDG-DIAZ28,Group5,DIAZINON,20.0,0.0970760243338149,0.0269306407251857,11.6073070990371,0.9918299148327436,True,0.9698735389679289,0.007954160244287644,2.3645256624991102,0.09172866345808117,10.033110784713347,0.10645821192044509,0.09803415099128741,20.0,0.5016555392356674
DIAZINONANDG-DIAZ8,Group5,DIAZINON,20.0,0.1703076159349787,0.0483584596121402,7.8643640971252,0.9968445024090824,True,0.981453533728263,0.008875608007585174,3.1062782119745136,0.10181657069522101,9.992815635991148,0.16789976644915344,0.09816383528314353,20.0,0.4996407817995574
MALATHIONANDG-MAL1,Group5,MALATHION,50.0,0.0248849798463742,0.0012274165497837,12.8411329683449,0.9844870269287967,True,0.8967111168035053,0.003117247660854592,0.4535098035724502,0.09999391207450417,10.000152191769605,0.05,0.09999942038413386,50.0,0.20000304383539208
MALATHIONANDG-MAL10,Group5,MALATHION,50.0,0.0188777114832076,0.0031787670065952,12.003161420462291,0.9759283826261776,True,0.686653556884448,0.004662102587532489,0.30258452578163947,0.09999003580497057,10.000249212000844,0.05,0.09999833311861334,50.0,0.20000498424001686
MALATHIONANDG-MAL2,Group5,MALATHION,50.0,0.0276283918550647,0.001,1.9323688829090704,0.9057178948174588,True,0.8923846751603413,0.0028703628921375106,0.33106095440241806,0.09999413126750373,10.000146661215505,0.05,0.09999958380376454,50.0,0.2000029332243101
MALATHIONANDG-MAL4,Group5,MALATHION,50.0,0.0456475731673848,0.0026745257401153,25.382823942540103,0.9786061417330392,True,0.9419692764561771,0.0038112795422625425,0.7710570609963461,0.09998312295256036,10.000421881649586,0.08104732721427083,0.10000004028601053,50.0,0.20000843763299173
MALATHIONANDG-MAL5,Group5,MALATHION,50.0,0.0232193744634783,0.0020399109358911,25.601804555876186,0.989077381068006,True,0.917622477611374,0.0026946017760084047,0.704127507514323,0.10000799402049819,9.999800183382492,0.05,0.099999478949387,50.0,0.19999600366764983
MALATHIONANDG-MAL6,Group5,MALATHION,50.0,0.0137743876971891,0.0038376582228544,14.366092568635429,0.9825483492928482,True,0.5511379340345401,0.004237807508883999,0.2490839572805842,0.09999217023857135,10.000195583870669,0.05,0.09999860752173391,50.0,0.20000391167741338
MALATHIONANDG-MAL8,Group5,MALATHION,50.0,0.03794846141259,0.0014028652428696,9.021654079851938,0.9724126450345142,True,0.9289079693375218,0.0035866458084009988,0.5611011574258388,0.09998832779402199,10.000291720199831,0.05,0.09999808515427887,50.0,0.20000583440399664
DIAZINONANDLB-DIAZ28,Group5,DIAZINON,20.0,1.3178974209691037,0.1276645115784495,2.0966639382011728e-17,0.9989342017868842,True,0.9811484127456702,0.04939434587779945,0.9545701162593212,0.08707774060079279,10.492231057994857,1.3802367238794033,0.001,20.0,0.5246115528997428
DIAZINONANDLB-DIAZ8,Group5,DIAZINON,20.0,0.3800536090578837,0.1037508849269643,4.135249323204632e-12,0.7284899353383505,True,0.8300365688955309,0.04094532077752127,0.2588093888892392,0.10011053569853469,10.001485829120691,0.5291110428080316,0.001,20.0,0.5000742914560345
IMIDACLOPRIDANDLB-IMID3,Group5,IMIDACLOPRID,20.0,0.9165514041199064,0.0215335616632473,6.411172940756648,0.9974366995964936,True,0.9935076427887185,0.019867494801826927,0.36106559082473305,0.09982064684515855,10.000719888282687,0.7823717609031923,0.09989336872933208,20.0,0.5000359944141344
IMIDACLOPRIDANDLB-IMID2,Group6,IMIDACLOPRID,20.0,0.3966403086375638,0.037628496892674,5.771445593057826,0.9987793114889216,True,0.560335464897473,0.06471063095543787,2.1203977412363475,0.08045661496173868,10.078050265153424,0.27305155374519935,0.10218301691218966,20.0,0.5039025132576712
IMIDACLOPRIDANDLB-IMID5,Group6,IMIDACLOPRID,20.0,1.5581457227062336,0.0239586368232111,3.9256563531396704,0.9919446834930712,True,0.9929312800935383,0.03571746443546424,0.07723833454417078,0.0010050657178400724,49.124566652671234,1.397747608090673,0.011519265051796932,20.0,2.456228332633562
IMIDACLOPRIDANDLB-IMID6,Group6,IMIDACLOPRID,20.0,0.641275598012109,0.0169170918947469,2.6304115554807947e-19,0.917186551119547,True,0.9074451616273331,0.05655130862174599,1.252767699429197,0.001000002009879493,5.74759809886863,0.6623509254709555,0.001,20.0,0.28737990494343146
IMIDACLOPRIDANDLB-IMID8,Group6,IMIDACLOPRID,20.0,0.3859535987995572,0.0299768434791512,7.102638761187591,0.9996884175961254,True,0.9706135829823714,0.03840636047990415,0.33228133866730686,0.12629811867692814,9.90063721800286,0.6754389290522368,0.001,20.0,0.495031860900143
