strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification,group
FlupyradifuroneANDLB-FLUPC8,False,BAD: High residual autocorrelation: 0.84 > 0.7,1.4750100000000002,1.5188666666666668,,49.12880325395181,,0.9796219346938668,1.2585603936443213,10.06508744225784,gompertz,12.74955638888889,52,1.4088237136287047,0.0177308972759999,0.7947820172081154,0.0799955050073375,3.47057625119463,0.0964998959207749,0.9796219346938668,0.0861315847138597,0.0746236515897571,0.0300233244513513,0.9464285714285714,0.838585515217375,1.4149633510972974,,,Group1
BifenthrinANDLB-BIF2,True,GOOD: Fit quality passed,1.5487666666666662,1.6315999999999995,,17.963620195708017,,0.989255991056444,0.621104800637333,2.550140419875352,gompertz,23.749256666666664,96,1.6212407141010778,0.0100696039051687,0.1680337399373359,0.0042850963211702,0.3994247065401771,0.1258479905826112,0.989255991056444,0.0517496611038644,0.0332377322561984,0.0862168454795491,1.0,0.9557569940757056,1.376332975707568,,,Group1
BifenthrinANDLB-BiF7,True,GOOD: Fit quality passed,1.56487,1.6602,,15.59192550279318,,0.9843641233366264,1.367457169706232,3.8997894546214704,gompertz,15.249488611111111,62,1.5885915581274357,0.0217233091589615,0.2010854549022431,0.0078419093650552,0.5385935302317898,0.148927337424565,0.9843641233366264,0.0641873843296275,0.0528365991944491,0.1003641275556161,1.0,0.9556072593003304,1.3641417448887676,,,Group1
BifenthrinANDLB-BIF6,True,GOOD: Fit quality passed,1.5467833333333334,1.6505,,15.67693196070248,,0.9879183391796448,0.6978659548977173,2.634278026007179,gompertz,23.749256666666664,96,1.6298124178919686,0.0113739059931633,0.1537433441773091,0.0040500271321114,0.0479050144845346,0.1414895056837344,0.9879183391796448,0.0538696376352631,0.0390845359957682,0.0986662018570132,1.0,0.9469827334646334,1.349450929619307,,,Group1
BifenthrinANDLB-BIF9,True,GOOD: Fit quality passed,1.53999,1.6345666666666667,,16.094056037331804,,0.9891961572165906,0.6212204766225494,2.539213824934159,gompertz,23.749256666666664,96,1.6260780105451218,0.0101015295673628,0.1668522151796532,0.0042367345150506,0.3141993633170417,0.1265577166999763,0.9891961572165906,0.0516291250754128,0.0320345688097667,0.0956868794558584,1.0,0.9541878371406668,1.348616241088283,,,Group1
LambdaCyhalothrin-LCY4,False,BAD: Low R²: -18.106 < 0.95; High mu error: 10826.2% > 20.0%; Delta OD not significant: CI lower=0.076 < 0.1; Insufficient growth: delta_od=0.093 < 0.15,0.0927533333333332,0.2368333333333332,,10.771150760400468,,-18.106016448168404,10.831815758625304,10826.241310640342,gompertz,2.249842777777778,10,0.1468488416959527,0.0159063959761809,1.9470602227896607,210.79343818270013,8.001938481823676e-33,0.0474010861779029,-18.106016448168404,0.0376402496385686,0.0170940830514584,0.0086112742636873,0.8392857142857143,,0.0755307848059584,,,Group1
Flupyradifurone-FLUPC8,False,BAD: Low R²: 0.432 < 0.95; Delta OD not significant: CI lower=0.013 < 0.1; Insufficient growth: delta_od=0.019 < 0.15,0.01869,0.0318333333333333,,7.048393057670648,,0.432483539319839,2.5995644845663253,15.593797429812078,gompertz,21.499316666666665,87,0.0251049669406679,0.0006526198044517,0.0040397910103064,0.0006299568267349,8.714356169817598e-35,0.5185910565521584,0.432483539319839,0.0041588964444382,0.0031973959595012,0.0026516682380049,0.75,0.5893171254667275,0.01338666352399,,,Group1
LambdaCyhalothrinANDLB-LCY4,True,GOOD: Fit quality passed,1.2698,1.2698,,126980000.0,,0.9966234871959556,0.8623972476548885,1.883677873113097,gompertz,18.249405277777775,74,1.260699778505427,0.010872240191022,0.1327638293606427,0.002500842877164,2.9925706573170725,0.0827469638902889,0.9966234871959556,0.0261654295966809,0.0213183366945647,1e-08,0.8392857142857143,0.9643028693929904,1.26979998,,,Group1
LB-BIF2,True,GOOD: Fit quality passed,1.66239,1.7946666666666666,,12.16358252228509,,0.9739960307877504,0.671593794663807,4.341525406867422,gompertz,23.749256666666664,96,1.7195042035092285,0.0115480835297512,0.2892678348704577,0.0125586365447962,0.5235126819276165,0.1381283321313912,0.9739960307877504,0.0812660846218111,0.0667683044630964,0.136669439036921,1.0,0.9649107727115086,1.389051121926158,,,Group1
LB-BiF7,True,GOOD: Fit quality passed,1.6968166666666669,1.7976666666666667,,13.684370348186077,,0.9746362218946508,0.6608889406660542,4.507181410214903,gompertz,23.749256666666664,96,1.721341938226982,0.0113761585007888,0.3158738920926847,0.0142370093441237,0.7590323758056453,0.131789645910562,0.9746362218946508,0.0820969290702289,0.0681566274733354,0.1239966928322418,1.0,0.9656054599026074,1.4488232810021833,,,Group1
