strain_id,n_degradation_genes,has_carboxylesterase,n_hits_carboxylesterase,max_pident_carboxylesterase,best_bitscore_carboxylesterase,mean_pident_carboxylesterase,has_opd_mpd,n_hits_opd_mpd,max_pident_opd_mpd,best_bitscore_opd_mpd,mean_pident_opd_mpd,has_pyrethroid_hydrolase,n_hits_pyrethroid_hydrolase,max_pident_pyrethroid_hydrolase,best_bitscore_pyrethroid_hydrolase,mean_pident_pyrethroid_hydrolase,has_cytochrome_p450,n_hits_cytochrome_p450,max_pident_cytochrome_p450,best_bitscore_cytochrome_p450,mean_pident_cytochrome_p450,has_nitroreductase,n_hits_nitroreductase,max_pident_nitroreductase,best_bitscore_nitroreductase,mean_pident_nitroreductase,has_nitrilase,n_hits_nitrilase,max_pident_nitrilase,best_bitscore_nitrilase,mean_pident_nitrilase,has_efflux_pump,n_hits_efflux_pump,max_pident_efflux_pump,best_bitscore_efflux_pump,mean_pident_efflux_pump,pesticide_gene_relevance_score,feature_source
Chlorp10,32,1.0,7.0,90.494,499.0,42.52771428571429,0.0,0.0,,,,1.0,21.0,52.137,336.0,35.66761904761905,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,44.082,171.0,34.80125,0.0,0.0,,,,0.2478405714285714,blast
Chlorp11,30,1.0,7.0,90.494,499.0,42.52771428571429,1.0,1.0,32.308,45.1,32.308,1.0,18.0,52.137,337.0,35.903333333333336,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,44.082,171.0,34.80125,0.0,0.0,,,,0.28476399999999996,blast
Chlorp2,31,1.0,8.0,90.494,499.0,41.24475,0.0,0.0,,,,1.0,19.0,52.137,336.0,35.524842105263154,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,44.49,171.0,34.90325,0.0,0.0,,,,0.24824857142857143,blast
Chlorp3,28,1.0,6.0,90.494,499.0,44.300000000000004,0.0,0.0,,,,1.0,18.0,52.137,333.0,35.882333333333335,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,43.265,160.0,35.132,0.0,0.0,,,,0.24702357142857143,blast
Chlorp4,28,1.0,7.0,90.494,499.0,42.52771428571429,0.0,0.0,,,,1.0,17.0,52.137,337.0,35.60517647058823,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,44.082,171.0,34.80125,0.0,0.0,,,,0.2478405714285714,blast
Chlorp5,32,1.0,7.0,90.494,499.0,42.52771428571429,0.0,0.0,,,,1.0,21.0,52.137,337.0,35.17609523809523,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,44.082,171.0,34.80125,0.0,0.0,,,,0.2478405714285714,blast
Chlorp7,31,1.0,7.0,90.494,499.0,42.52771428571429,0.0,0.0,,,,1.0,20.0,52.137,336.0,35.80435,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,44.082,171.0,34.80125,0.0,0.0,,,,0.2478405714285714,blast
Chlorp8,33,1.0,11.0,90.511,527.0,43.57272727272727,1.0,7.0,43.953,262.0,32.85257142857143,1.0,13.0,45.399,300.0,35.32492307692308,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,36.424,83.6,34.057,0.0,0.0,,,,0.2808131428571428,blast
Diaz11,39,1.0,18.0,83.846,463.0,36.12166666666666,0.0,0.0,,,,1.0,17.0,51.724,336.0,36.826058823529415,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,47.619,178.0,38.961,0.0,0.0,,,,0.24129042857142854,blast
Diaz18,22,1.0,10.0,50.235,289.0,34.7608,0.0,0.0,,,,1.0,11.0,45.342,384.0,35.47327272727273,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,45.5,178.0,45.5,0.0,0.0,,,,0.18203857142857144,blast
